sex,age,method,tuning_decisions,fallback_rate,boundary_rate,lambda_factor_mean,h_factor_mean,k_target_mean_mean,R_MB_mean_mean,R_GH_mean_mean,bias_score_mean_mean,bias_budget_mean_mean,gh_gamma_eff_mean_mean,edge_score_mean_mean,pc_ratio_mean_mean,J_w_mean_mean,sw_proxy_mean_mean,op_score_mean,loc_score_mean
2,70,GH_P1_c15,50,0.0,1.0,251.18864315095817,1.4000000000000004,4315.49,13.809256277053409,14.16154919074633,14.16154919074633,15.0,0.3821157885682917,0.6810900999613568,19.008310097455233,0.558453006510745,1.2155495245949985,0.04276145290623809,0.03157262250522495
2,71,GH_P1_c15,50,0.0,1.0,251.18864315095817,1.4000000000000004,4339.08,14.77216659158369,14.291914125418357,14.291914125418357,15.0,0.3821157885682917,0.6990063483693787,18.924178651109145,0.5564901108557492,1.2149190307869246,0.04228296242417053,0.031656183087092116
2,72,GH_P1_c15,50,0.0,1.0,251.18864315095817,1.4000000000000004,4356.32,15.718712416640457,14.46802674370383,14.46802674370383,15.0,0.3821157885682917,0.7155305743289684,18.657133605648575,0.5536650431389554,1.2154930596451692,0.04188494587526495,0.03182192664115898
2,73,GH_P1_c15,50,0.0,1.0,251.18864315095817,1.4000000000000004,4378.34,16.734709718798126,14.599796567311591,14.599796567311591,15.0,0.3821157885682917,0.7299139378926144,18.550044789028338,0.55204045670068,1.2140953821863394,0.04146536346727281,0.031905286846474604
2,74,GH_P1_c15,50,0.0,1.0,251.18864315095817,1.4000000000000004,4398.94,17.842242971422056,14.770832169515698,14.770832169515698,15.0,0.3821157885682917,0.7444760510618302,18.280960486908373,0.5497623905024028,1.2133416794017615,0.04104920504314727,0.03204813999277734
2,75,GH_P1_c15,50,0.0,1.0,239.82291258706275,1.4000000000000004,4420.34,18.454787539587343,14.37031587034428,14.37031587034428,15.0,0.3821157885682917,0.757942391904366,17.812667039798136,0.5583920985598062,1.219206501636121,0.041763819706812,0.03321903958236018
2,76,GH_P1_c15,50,0.0,1.0,205.72572089537647,1.4000000000000004,4441.24,18.135825153793117,12.839135055144386,12.839135055144386,15.0,0.3821157885682917,0.7704806908840031,17.021327312613558,0.5878960402571282,1.2402459640639556,0.04466157241241966,0.03651147059182137
2,77,GH_P1_c15,50,0.0,1.0,199.52623149688807,1.4000000000000004,4456.53,18.86496797550542,12.704816455217864,12.704816455217864,15.0,0.3821157885682917,0.781684666738814,16.621833355379216,0.5908593132350756,1.2441632968146223,0.04485713532257615,0.03731282485443146
2,78,GH_P1_c15,50,0.0,1.0,199.52623149688807,1.4000000000000004,4475.44,20.05325965731233,12.895348163334553,12.895348163334553,15.0,0.3821157885682917,0.793043905171293,16.286509779490274,0.588170605169434,1.2430329543378944,0.044410647147159345,0.03756023326971504
2,79,GH_P1_c15,50,0.0,1.0,199.52623149688807,1.4000000000000004,4488.92,21.096916695910373,13.070387574394156,13.070387574394156,15.0,0.3821157885682917,0.8025003531183893,16.014977971507193,0.5855547403385946,1.2424661284488867,0.04405395472142394,0.03779594384667113
