sex,age,method,n_reps,n_unlab_clusters,coverage,coverage_cluster_se,coverage_cluster_sd,bias,abs_bias,rmse,se_mean,width,emp_sd,theta0_mean,theta_hat_mean,sigma2_Y_mean,sigma2_Y_minus_f_mean,sigma2_f_mean,lambda_factor_mean,h_factor_mean,k_target_mean,R_MB_mean,R_GH_mean,bias_score_mean,bias_budget_mean,gh_gamma_eff_mean,edge_score_mean,pc_ratio_mean,fallback_rate,tuning_seconds_mean_per_unlab_draw,estimation_seconds_mean,amortized_procedure_seconds_mean,nw_corr_mean,nw_relative_difference_mean,negative_weight_fraction_mean,M_lambda_over_eigmax_mean,width_ratio_vs_GH_P1_c22,rmse_ratio_vs_GH_P1_c22,width_ratio_vs_GH_P1_c15,rmse_ratio_vs_GH_P1_c15
1,73,LO_GH_P1_c22w,1000,50,0.948,0.0060541771715477,0.0428094973250619,0.1116216364494864,0.1116216364494864,0.7150278895773134,0.6811673537857523,2.670176026840149,0.7066150281077193,6.7883700141781,6.899991650627589,34.56318355045963,,,,,4474.7,23.504736628741437,18.82184115032612,18.82184115032612,22.0,0.3821157885682916,0.7716923337801073,19.08205982969029,,7.567595590744167,0.0023065826753154,0.3806863622125238,0.9862812796661732,0.2262717734677654,0.0,0.7956354300914468,1.1380345066728672,1.1360310958077138,,
1,73,PPI_global,1000,50,0.098,0.0093634112046708,0.0662093155786083,-1.518723095337574,1.518723095337574,1.577284982083946,0.4114848826402189,1.613020739949658,0.4260159198431102,6.7883700141781,5.269646918840528,,,,,,,,,,,,,,,0.0,8.375529199838638e-05,8.375529199838638e-05,,,,,0.6874727522042897,2.505978875393404,,
1,74,GH_P1_c22,1000,50,0.944,0.0069458547320818,0.0491146098219173,0.1244319662515631,0.1244319662515631,0.6083605116628678,0.5914610091356042,2.318527155811568,0.5957970897021684,6.758177456728083,6.882609422979647,34.64101796076857,26.96345270464969,4.556536732905179,317.0465600622046,1.3999999999999997,4492.59,24.5484844354507,18.428855132857997,18.428855132857997,22.0,0.3821157885682916,0.7836682222672868,18.619241144893667,0.0,7.567086944952607,0.0023750099483877,0.3807293571960181,0.9858812643199508,0.2340737009728389,0.0,0.7584004419304727,1.0,1.0,,
1,74,LO_GH_P1_c22w,1000,50,0.945,0.0064285714285714,0.0454568645048494,0.1176236755663472,0.1176236755663472,0.6881655185230985,0.6730883790446694,2.638506445855104,0.6783779540041868,6.758177456728083,6.875801132294432,34.629538297289635,,,,,4492.59,24.5484844354507,18.428855132857997,18.428855132857997,22.0,0.3821157885682916,0.7836682222672868,18.619241144893667,,7.567086944952607,0.0023028148356825,0.3806571620833129,0.9858812643199508,0.2340737009728389,0.0,0.7584004419304727,1.13800972278521,1.1311804519364594,,
1,74,PPI_global,1000,50,0.11,0.0108796758655198,0.0769309258162072,-1.48699997349562,1.48699997349562,1.5438216539520406,0.4106705773330557,1.6098286631455785,0.4151972625175205,6.758177456728083,5.2711774832324645,,,,,,,,,,,,,,,0.0,8.380863722413779e-05,8.380863722413779e-05,,,,,0.6943324597731875,2.537675645206198,,
1,75,GH_P1_c22,1000,50,0.952,0.0068452277432633,0.0484030695602783,0.1855888969958059,0.1855888969958059,0.6315980532536928,0.6066751859953579,2.3781667291018027,0.604017963214357,6.729184392914373,6.914773289910178,35.93981726634309,28.171909037603083,4.534238806668472,316.227766016838,1.3999999999999997,4507.67,25.901790881570324,18.56411129158681,18.56411129158681,22.0,0.3821157885682916,0.7936859083904408,18.2936198873141,0.0,7.567317494545132,0.0023774632178246,0.3807433379450812,0.986054401786866,0.2366257990575102,0.0,0.75020047449342,1.0,1.0,,
1,75,LO_GH_P1_c22w,1000,50,0.951,0.0064665544558607,0.045725445066512,0.1955621323023977,0.1955621323023977,0.7107211490646765,0.6870637992572195,2.6932900930883004,0.6836280797982498,6.729184392914373,6.9247465252167695,35.92563085039373,,,,,4507.67,25.901790881570324,18.56411129158681,18.56411129158681,22.0,0.3821157885682916,0.7936859083904408,18.2936198873141,,7.567317494545132,0.0023049189802259,0.3806707937074825,0.986054401786866,0.2366257990575102,0.0,0.75020047449342,1.1325068424052485,1.1252744453586885,,
1,75,PPI_global,1000,50,0.136,0.0122090632109837,0.0863311138842178,-1.4274471712135968,1.4274471712135968,1.4884171713939829,0.4191516254612167,1.64307437180797,0.4218509306644566,6.729184392914373,5.301737221700775,,,,,,,,,,,,,,,0.0,8.404539339244366e-05,8.404539339244366e-05,,,,,0.6908995705395871,2.3565892322282584,,
1,76,GH_P1_c22,1000,50,0.953,0.0072011903777877,0.0509201054874903,0.1745149597634337,0.1745149597634337,0.622525186401944,0.589213316481093,2.309716200605884,0.5978625060159249,6.7013169697097785,6.87583192947321,33.91593717140534,26.401859628335863,4.499409404004067,316.227766016838,1.3999999999999997,4521.85,27.30019318660746,18.777902388668917,18.777902388668917,22.0,0.3821157885682916,0.8043044701056532,17.810187158234154,0.0,7.569177903812378,0.0023883564742282,0.3808472516648471,0.9861812100995776,0.2387958908825852,0.0,0.7440069080273528,1.0,1.0,,
1,76,LO_GH_P1_c22w,1000,50,0.958,0.0054135129489989,0.0382793171627836,0.1677886640146257,0.1677886640146257,0.7022455571180114,0.670631906585004,2.628877073813216,0.6822472044414263,6.7013169697097785,6.869105633724402,33.90644150655756,,,,,4521.85,27.30019318660746,18.777902388668917,18.777902388668917,22.0,0.3821157885682916,0.8043044701056532,17.810187158234154,,7.569177903812378,0.0023181237541139,0.3807770189447328,0.9861812100995776,0.2387958908825852,0.0,0.7440069080273528,1.1381818567682078,1.128059671250947,,
1,76,PPI_global,1000,50,0.144,0.0104627619563431,0.0739828992927088,-1.407309901635644,1.407309901635644,1.4683448980484988,0.410909948358538,1.610766997565469,0.4191554266080598,6.7013169697097785,5.294007068074132,,,,,,,,,,,,,,,0.0,8.583167660981417e-05,8.583167660981417e-05,,,,,0.6973874093894882,2.358691551959854,,
1,77,GH_P1_c22,1000,50,0.946,0.0068273160830562,0.0482764149963308,0.1661638581775254,0.1661638581775254,0.6378510406085365,0.5937325929006406,2.327431764170512,0.6161356550195244,6.674507573728135,6.840671431905657,34.05746648161473,26.624488160981688,4.397341569825854,316.227766016838,1.3999999999999997,4535.38,28.77262142232936,18.95174430729865,18.95174430729865,22.0,0.3821157885682916,0.813075614424055,17.500970445358778,0.0,7.567395195290446,0.0023731393255293,0.3807428990900516,0.9864976402176384,0.2405589911710143,0.0,0.7385509375705476,1.0,1.0,,
1,77,LO_GH_P1_c22w,1000,50,0.949,0.006774803257931,0.0479050932488777,0.1604602968441027,0.1604602968441027,0.7126253502704106,0.6737180087571993,2.640974594328221,0.6946725508739104,6.674507573728135,6.834967870572235,34.0485253206531,,,,,4535.38,28.77262142232936,18.95174430729865,18.95174430729865,22.0,0.3821157885682916,0.813075614424055,17.500970445358778,,7.567395195290446,0.0023021727269515,0.3806719324914738,0.9864976402176384,0.2405589911710143,0.0,0.7385509375705476,1.1347162288426766,1.117228482672908,,
1,77,PPI_global,1000,50,0.15,0.010202040612204,0.0721393209883005,-1.4014002985712222,1.4014002985712222,1.4638808849851774,0.4126084869280246,1.6174252687578563,0.4233245235534051,6.674507573728135,5.27310727515691,,,,,,,,,,,,,,,0.0,8.36779922246933e-05,8.36779922246933e-05,,,,,0.6949399306382248,2.2950199839582828,,
1,78,GH_P1_c22,1000,50,0.952,0.0075538880379441,0.0534140545595426,0.1709895187876962,0.1709895187876962,0.6305090601676415,0.5904294050241095,2.314483267694509,0.6071844302603495,6.64869416044111,6.819683679228809,33.56441626392427,26.336400691522787,4.3731988192030045,316.227766016838,1.3999999999999997,4552.53,30.372421387473068,19.166317847396755,19.166317847396755,22.0,0.3821157885682916,0.8227082114727398,17.01603358591635,0.0,7.566920463740826,0.0023741926271468,0.3807202158141881,0.986674922966825,0.2424674240309427,0.0,0.7322744921315748,1.0,1.0,,
1,78,LO_GH_P1_c22w,1000,50,0.937,0.0081828591380683,0.0578615518602246,0.1606742292533843,0.1606742292533843,0.708014464864538,0.6691494438204146,2.623065819776025,0.6898871057861417,6.64869416044111,6.809368389694496,33.55671087456454,,,,,4552.53,30.372421387473068,19.166317847396755,19.166317847396755,22.0,0.3821157885682916,0.8227082114727398,17.01603358591635,,7.566920463740826,0.0023034733841195,0.3806494965711609,0.986674922966825,0.2424674240309427,0.0,0.7322744921315748,1.1333267586716664,1.1229251244641736,,
1,78,PPI_global,1000,50,0.161,0.0108128796972378,0.0764586055807123,-1.3759768491597115,1.3759768491597115,1.4386097491390453,0.41191174640239,1.6146940458973686,0.4200740209504707,6.64869416044111,5.272717311281402,,,,,,,,,,,,,,,0.0,8.351429644972086e-05,8.351429644972086e-05,,,,,0.6976477507680534,2.2816638808592917,,
1,79,GH_P1_c22,1000,50,0.942,0.0088479214669725,0.0625642526870234,0.1680348061671764,0.1680348061671764,0.6224955846678256,0.5831357524219581,2.285892149494076,0.5996871530463416,6.62381966116426,6.791854467331437,32.513622196602554,25.30024710821856,4.288723306078432,316.227766016838,1.3999999999999997,4566.52,31.970358740850564,19.36731825213671,19.36731825213671,22.0,0.3821157885682916,0.8312030370237108,16.50743654815769,0.0,7.565524282101542,0.0023668856825679,0.380643099787645,0.9869103343813994,0.2438788595428495,0.0,0.7269841643722055,1.0,1.0,,
