dataset,x0_index,reference,kernel,bandwidth,bandwidth_over_h0,ess,theta0,theta0_baseline,shift,abs_shift,ppci_width,abs_shift_over_ppci_width
blogfeedback,14,matern52_1.2h0,matern52,14.442070906318179,1.2,12504.9766908971,0.5057918261339202,0.4884906334899638,0.017301192643956353,0.017301192643956353,0.14672064185467443,0.11791928133120519
blogfeedback,14,gaussian_ess_matched,gaussian,11.825454317384256,0.9825838186857929,11798.172643068023,0.4849155220231663,0.4884906334899638,-0.0035751114667975092,0.0035751114667975092,0.14672064185467443,0.02436679271304325
blogfeedback,21,matern52_0.8h0,matern52,16.096265257966056,0.8,13428.709816362343,0.551405158058703,0.5652206529216839,-0.013815494862980837,0.013815494862980837,0.14959219563486797,0.09235438255550697
blogfeedback,21,matern52_h0,matern52,20.12033157245757,1.0,13774.255990066358,0.5652206529216839,0.5652206529216839,0.0,0.0,0.14959219563486797,0.0
blogfeedback,21,matern52_1.2h0,matern52,24.144397886949083,1.2,13988.597460071418,0.5761162098374163,0.5652206529216839,0.010895556915732407,0.010895556915732407,0.14959219563486797,0.07283506248097876
blogfeedback,21,gaussian_ess_matched,gaussian,20.37594551212037,1.012704260799196,13774.255990066358,0.5643555542408866,0.5652206529216839,-0.000865098680797316,0.000865098680797316,0.14959219563486797,0.0057830468837351085
blogfeedback,28,matern52_0.8h0,matern52,9.834772527005585,0.8,10879.469280103915,0.47417491314856014,0.49335906724558903,-0.019184154097028894,0.019184154097028894,0.14808337232203894,0.12954968404763806
blogfeedback,28,matern52_h0,matern52,12.29346565875698,1.0,11915.304650790038,0.49335906724558903,0.49335906724558903,0.0,0.0,0.14808337232203894,0.0
blogfeedback,28,matern52_1.2h0,matern52,14.752158790508377,1.2,12593.401803036219,0.5099387837351904,0.49335906724558903,0.01657971648960138,0.01657971648960138,0.14808337232203894,0.11196204023193937
blogfeedback,28,gaussian_ess_matched,gaussian,12.119703243732031,0.9858654654555306,11915.304650790038,0.4896184921903172,0.49335906724558903,-0.003740575055271811,0.003740575055271811,0.14808337232203894,0.025259926193044353
blogfeedback,35,matern52_0.8h0,matern52,13.092564503591753,0.8,12718.143870530708,0.49260521108466304,0.5151712281519913,-0.022566017067328303,0.022566017067328303,0.14156947337811882,0.15939889108054095
blogfeedback,35,matern52_h0,matern52,16.36570562948969,1.0,13241.222237666434,0.5151712281519913,0.5151712281519913,0.0,0.0,0.14156947337811882,0.0
blogfeedback,35,matern52_1.2h0,matern52,19.638846755387625,1.2,13580.895976360756,0.5328305570195165,0.5151712281519913,0.017659328867525192,0.017659328867525192,0.14156947337811882,0.124739666300508
blogfeedback,35,gaussian_ess_matched,gaussian,16.631299740440117,1.0162286990224147,13241.222237666438,0.5147794986072678,0.5151712281519913,-0.00039172954472355137,0.00039172954472355137,0.14156947337811882,0.0027670481169148552
blogfeedback,42,matern52_0.8h0,matern52,9.416293859376049,0.8,10524.846747524743,0.4477685768856159,0.47201287935981223,-0.024244302474196344,0.024244302474196344,0.14162059335479488,0.17119192837625194
blogfeedback,42,matern52_h0,matern52,11.77036732422006,1.0,11640.45710701969,0.47201287935981223,0.47201287935981223,0.0,0.0,0.14162059335479488,0.0
blogfeedback,42,matern52_1.2h0,matern52,14.124440789064073,1.2,12379.58489964063,0.49192690351051377,0.47201287935981223,0.019914024150701537,0.019914024150701537,0.14162059335479488,0.14061531362753116
blogfeedback,42,gaussian_ess_matched,gaussian,11.510891533333165,0.9779551662459193,11640.45710701969,0.46916631982601736,0.47201287935981223,-0.002846559533794868,0.002846559533794868,0.14162059335479488,0.020099898371866914
