x0_index,method,dataset,reference,method_family,n_reps,coverage,bias,abs_bias,rmse,width,theta0,theta_hat_mean,n_unlab_clusters,coverage_cluster_se
0,LO_GH_P1_c300w,blogfeedback,matern52_1.2h0,LO,300,0.95,-0.008596814600101602,0.008596814600101602,0.05350131942158107,0.2170875587090326,0.5327970766497635,0.5242002620496619,15,0.011952286093343936
0,PPI_global,blogfeedback,matern52_1.2h0,PPI,300,0.22333333333333333,0.10349575476268164,0.10349575476268164,0.1109397530462346,0.15377335792662006,0.5327970766497635,0.6362928314124452,15,0.030026443372256087
7,GH_P1_c300,blogfeedback,matern52_1.2h0,PPCI,300,0.94,-0.020811224444464187,0.020811224444464187,0.03972722845931098,0.14652722056183284,0.5050637364597396,0.4842525120152754,15,0.015583874449479592
7,LO_GH_P1_c300w,blogfeedback,matern52_1.2h0,LO,300,0.9233333333333333,-0.017718759276319537,0.017718759276319537,0.056129511122680456,0.21826792749360563,0.5050637364597396,0.48734497718341996,15,0.011818736805705575
7,PPI_global,blogfeedback,matern52_1.2h0,PPI,300,0.08666666666666667,0.12347291278860202,0.12347291278860202,0.12883271125164297,0.15326341252802667,0.5050637364597396,0.6285366492483415,15,0.030263393991306
14,GH_P1_c300,blogfeedback,matern52_1.2h0,PPCI,300,0.93,-0.01879546361259248,0.01879546361259248,0.04053612092049166,0.14672064185467443,0.5057918261339202,0.4869963625213276,15,0.01603567451474546
14,LO_GH_P1_c300w,blogfeedback,matern52_1.2h0,LO,300,0.9266666666666666,-0.01455410872617585,0.01455410872617585,0.05658066245332244,0.2193551912089447,0.5057918261339202,0.4912377174077443,15,0.012786401506759571
14,PPI_global,blogfeedback,matern52_1.2h0,PPI,300,0.056666666666666664,0.12871150736877382,0.12871150736877382,0.1338831262049471,0.15241460387502254,0.5057918261339202,0.634503333502694,15,0.017502834237608674
21,GH_P1_c300,blogfeedback,matern52_1.2h0,PPCI,300,0.9566666666666667,-0.0054453353045575805,0.0054453353045575805,0.035565745263218394,0.14959219563486795,0.5761162098374163,0.5706708745328587,15,0.009594972228385658
21,LO_GH_P1_c300w,blogfeedback,matern52_1.2h0,LO,300,0.9566666666666667,-0.008230917024321978,0.008230917024321978,0.056271898699441214,0.2321284686974462,0.5761162098374163,0.5678852928130943,15,0.01181873680570558
