setting,replicate,b,h,estimate,error,analytic_uniform_bias,note
b=0,239,0.0,0.3,0.17053492384636423,0.17053492384636423,0.12,Uniform NW fixed-bandwidth sanity check
b=2,239,2.0,0.3,0.17199600135979362,0.17199600135979362,0.12,Uniform NW fixed-bandwidth sanity check
b=0,240,0.0,0.3,0.19306670669022902,0.19306670669022902,0.12,Uniform NW fixed-bandwidth sanity check
b=2,240,2.0,0.3,0.1967014491300835,0.1967014491300835,0.12,Uniform NW fixed-bandwidth sanity check
b=0,241,0.0,0.3,0.2116298515873575,0.2116298515873575,0.12,Uniform NW fixed-bandwidth sanity check
b=2,241,2.0,0.3,0.20669018152607377,0.20669018152607377,0.12,Uniform NW fixed-bandwidth sanity check
b=0,242,0.0,0.3,0.3312438402146071,0.3312438402146071,0.12,Uniform NW fixed-bandwidth sanity check
b=2,242,2.0,0.3,0.3339396568081735,0.3339396568081735,0.12,Uniform NW fixed-bandwidth sanity check
b=0,243,0.0,0.3,0.18743073421053225,0.18743073421053225,0.12,Uniform NW fixed-bandwidth sanity check
b=2,243,2.0,0.3,0.195650356224961,0.195650356224961,0.12,Uniform NW fixed-bandwidth sanity check
b=0,244,0.0,0.3,0.12638645181330654,0.12638645181330654,0.12,Uniform NW fixed-bandwidth sanity check
b=2,244,2.0,0.3,0.1271885675079557,0.1271885675079557,0.12,Uniform NW fixed-bandwidth sanity check
b=0,245,0.0,0.3,0.17012110077915119,0.17012110077915119,0.12,Uniform NW fixed-bandwidth sanity check
b=2,245,2.0,0.3,0.17899173344159142,0.17899173344159142,0.12,Uniform NW fixed-bandwidth sanity check
b=0,246,0.0,0.3,-0.02899152251145829,-0.02899152251145829,0.12,Uniform NW fixed-bandwidth sanity check
b=2,246,2.0,0.3,-0.024067814477451994,-0.024067814477451994,0.12,Uniform NW fixed-bandwidth sanity check
b=0,247,0.0,0.3,0.11844755686162195,0.11844755686162195,0.12,Uniform NW fixed-bandwidth sanity check
b=2,247,2.0,0.3,0.10770570528809324,0.10770570528809324,0.12,Uniform NW fixed-bandwidth sanity check
b=0,248,0.0,0.3,0.2052917765923425,0.2052917765923425,0.12,Uniform NW fixed-bandwidth sanity check
b=2,248,2.0,0.3,0.19552438836151928,0.19552438836151928,0.12,Uniform NW fixed-bandwidth sanity check
b=0,249,0.0,0.3,0.1592281278366369,0.1592281278366369,0.12,Uniform NW fixed-bandwidth sanity check
b=2,249,2.0,0.3,0.15155801407083178,0.15155801407083178,0.12,Uniform NW fixed-bandwidth sanity check
b=0,250,0.0,0.3,0.11086806726036992,0.11086806726036992,0.12,Uniform NW fixed-bandwidth sanity check
b=2,250,2.0,0.3,0.10900035638747528,0.10900035638747528,0.12,Uniform NW fixed-bandwidth sanity check
b=0,251,0.0,0.3,0.01079199017160365,0.01079199017160365,0.12,Uniform NW fixed-bandwidth sanity check
b=2,251,2.0,0.3,0.0005607820425045365,0.0005607820425045365,0.12,Uniform NW fixed-bandwidth sanity check
b=0,252,0.0,0.3,-0.05803699268992635,-0.05803699268992635,0.12,Uniform NW fixed-bandwidth sanity check
