b,h,bias_nw,var_lo_nw,var_ppci_nw,se_ppci_nw,bias_to_se,normal_approx_coverage,gain_nw,var_lo_signed_reference,var_ppci_signed_reference,gain_signed_reference
0.0,0.30068133077121095,0.12054568356579516,0.01682221185576073,0.016636633172607895,0.12898307320190466,0.9345852953673854,0.8455092136856209,0.01103176471346623,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.30776917403770493,0.12629581931713482,0.016453247963318044,0.016254233768140315,0.1274920929632121,0.9906168796960415,0.8322280978550821,0.012095739128312188,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.315024096257992,0.13232024163088615,0.01609411675362405,0.015880694343197638,0.12601862696918117,1.050005422319401,0.8172714482299921,0.013260896120835919,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.32245003591882354,0.13863203421873413,0.015744688472990574,0.015515814722394322,0.12456249324092032,1.1129516647567534,0.8004459807162846,0.014536569014298117,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.3300510243473569,0.1452449048969861,0.015404843356108356,0.015159399620338835,0.12312351367768398,1.1796682904714049,0.7815457764962821,0.015932893966896344,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.3378311878996456,0.15217321535691422,0.015074471902816257,0.014811258549290317,0.12170151416186373,1.25038062512947,0.760355849469144,0.017460867300881366,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.3457947502007189,0.15943201235517013,0.014753475185187673,0.014471205730409541,0.1202963246754012,1.3253273762550086,0.7366578919603403,0.019132404483353627,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.3539460344374647,0.16703706039200927,0.014441765186892453,0.014139060008627656,0.11890777942854562,1.40476141422173,0.7102388451156127,0.020960400224450226,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.3622894657055627,0.17500487594829614,0.014139265176939595,0.01381464477116333,0.11753571700195363,1.4889505965696137,0.6809029904462858,0.02295878899744408,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.37082957341173994,0.18335276335564402,0.013845910120063937,0.013497787869726467,0.1161799805032109,1.5781786376748155,0.6484882295892335,0.025142605095566206,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.3795709937326549,0.19209885237759353,0.013561647126188977,0.013188321546454624,0.11484041773894164,1.6727460258310611,0.612887051769422,0.02752804111924001,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.3885184721317429,0.20126213758344516,0.013286435941579213,0.012886082363636742,0.1135168814037663,1.7729709898176222,0.5740723065296304,0.030132503532387167,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.3976768659353902,0.21086251960025906,0.013020249484489536,0.012590911137287638,0.11220922928746832,1.8791905170300325,0.532127216154152,0.032974663635543355,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.40705114696983635,0.2209208483326124,0.012763074428327272,0.012302652874646176,0.11091732450183865,1.9917614252311888,0.48727799894901297,0.036074501975731255,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.4166464042602335,0.23145896824397594,0.012514911835565641,0.012021156715680143,0.10964103572878242,2.1110614899382467,0.4399259968414172,0.03945334384876087,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.4264678467933313,0.24249976579805368,0.012275777845886382,0.011746275878691332,0.10838023749139569,2.237490629389936,0.39067437810278577,0.04313388315124045,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.436520806345284,0.2540672191631159,0.012045704422285718,0.011477867610125782,0.1071348104498523,2.3714721489337007,0.3403425709318975,0.04714019141208403,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.4468107403761173,0.2661864502872721,0.01182474015915254,0.011215793138706093,0.10590464172408164,2.5134540465259327,0.2899600929552061,0.05149770838517009,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.45734323499242513,0.27888377945778214,0.011612951156622212,0.010959917634015435,0.10468962524536725,2.663910380843811,0.24073119495989018,0.05623321012888172,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.46812400797990444,0.29218678246289287,0.011410421965825283,0.010710110169676641,0.10348966213915592,2.823342703254824,0.19396377595297898,0.0613747500527243,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.4791589119073757,0.306124350480347,0.011217256609988813,0.010466243691284094,0.10230466114153398,2.9922815545700057,0.15096131961287254,0.06695156800067781,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.4904539373039723,0.320726752822625,0.011033579686711086,0.010228194989261745,0.10113453905200609,3.1712880271071264,0.11288547497755896,0.07299396209730113,0.02439285714285714,0.011775714285714285,0.5172474377745242
0.0,0.5020152159112248,0.33602570267519155,0.010859537557119547,0.009995844676836887,0.09997922122539707,3.3609553920973445,0.08060826966320578,0.07953311784592709,0.02439285714285714,0.011775714285714285,0.5172474377745242
