A,b,h,method,family,repetitions,coverage,bias,absolute_bias,rmse,empirical_sd,mean_estimated_se,sd_over_mean_se,mean_width,fallback_rate,selected_lambda_mean,negative_weight_fraction,normalized_linear_imbalance,normalized_quadratic_imbalance,effective_sample_size
2.0,0.0,0.4,RKHS_LOCALIZATION_FIXED_H_LO,RKHS_LOCALIZATION,500,0.938,-0.008015410488313845,0.15892460772577277,0.19980075055076016,0.199839848492341,0.2021606894900263,0.9885198205272256,0.7924553409804732,0.0,0.0006477148615292768,0.4478836,0.00024200740972724405,0.00025883686957196985,581.0579096041389
2.0,0.0,0.4,RKHS_LOCALIZATION_FIXED_H_PPCI,RKHS_LOCALIZATION,500,0.952,-0.005375075148668052,0.15585009690478588,0.19604755476025681,0.196170124458548,0.20274956581544398,0.9675489250473414,0.7947636937588071,0.0,0.0006477148615292768,0.4478836,0.00024200740972724405,0.00025883686957196985,581.0579096041389
2.0,0.0,0.6,NW_FIXED_H_LO,NW,500,0.0,0.42943807348861035,0.42943807348861035,0.43725065830214077,0.08236897790484309,0.08210970676588449,1.0031576186199014,0.3218641360845568,,,0.0,0.004582395667225475,0.21662304150822637,4296.455882295873
2.0,0.0,0.6,NW_FIXED_H_PPCI,NW,500,0.0,0.43055289536158237,0.43055289536158237,0.4376665563814103,0.0786676303357728,0.07648766439087674,1.0285008826227942,0.2998261349354103,,,0.0,0.004582395667225475,0.21662304150822637,4296.455882295873
2.0,0.0,0.6,RKHS_LOCALIZATION_FIXED_H_LO,RKHS_LOCALIZATION,500,0.932,-0.01087852588938873,0.1347171553182149,0.16963020191073622,0.169450553421524,0.17286761873635864,0.9802330515118275,0.6776286136329288,0.0,0.0006610942315475772,0.4181516,0.00021314678862818147,0.00045884203658660917,810.1002330742261
2.0,0.0,0.6,RKHS_LOCALIZATION_FIXED_H_PPCI,RKHS_LOCALIZATION,500,0.944,-0.007880144922168517,0.13276479173681857,0.1676668114419659,0.1676492634226996,0.17283940158152897,0.9699713253382148,0.6775180044185038,0.0,0.0006610942315475772,0.4181516,0.00021314678862818147,0.00045884203658660917,810.1002330742261
2.0,2.0,0.08,NW_FIXED_H_LO,NW,500,0.938,0.009096230281408971,0.14127265178018225,0.17858752301954,0.17853434122014772,0.1797866399749803,0.9930345282886045,0.7047506785048611,,,0.0,0.001611473152200443,0.007689868297649444,726.672313317538
2.0,2.0,0.08,NW_FIXED_H_PPCI,NW,500,0.954,0.010539326167008888,0.13742475619911562,0.1749297158876173,0.17478681003551924,0.18085309191232374,0.9664574057724964,0.7089310932817333,,,0.0,0.001611473152200443,0.007689868297649444,726.672313317538
2.0,2.0,0.08,RKHS_LOCALIZATION_FIXED_H_LO,RKHS_LOCALIZATION,500,0.876,0.0512759202255851,0.3763905855534096,0.8689908768378166,0.8683455372006752,1.1629752788236434,0.7466586375584974,4.558779322809536,0.0,0.0005718263704932404,0.48511800000000005,0.00025198135548964626,4.6548064495090464e-05,156.70020886734233
2.0,2.0,0.08,RKHS_LOCALIZATION_FIXED_H_PPCI,RKHS_LOCALIZATION,500,0.98,0.00217766757732453,0.29667245810441895,0.380558620774298,0.38093351427007166,0.3726822943918064,1.022140090909687,1.4608877493673886,0.0,0.0005718263704932404,0.48511800000000005,0.00025198135548964626,4.6548064495090464e-05,156.70020886734233
