dataset,x0_index,reference,kernel,bandwidth,bandwidth_over_h0,ess,theta0
blogfeedback,5,matern52_0.8h0,matern52,13.794950175576055,0.8,12985.343466153534,0.5091587568886244
blogfeedback,5,matern52_h0,matern52,17.243687719470067,1.0,13431.570106946008,0.5290206768015444
blogfeedback,5,matern52_1.2h0,matern52,20.69242526336408,1.2,13722.266133540552,0.5447277930512783
blogfeedback,5,gaussian_ess_matched,gaussian,17.589836902276627,1.0200739649451966,13431.57010694601,0.5285329731498151
blogfeedback,6,matern52_0.8h0,matern52,16.542443719618884,0.7999999999999999,13483.312868433404,0.5292447981228062
blogfeedback,6,matern52_h0,matern52,20.678054649523606,1.0,13800.725785771489,0.5476054522795357
blogfeedback,6,matern52_1.2h0,matern52,24.813665579428328,1.2,14001.832864010847,0.5616780211535085
blogfeedback,6,gaussian_ess_matched,gaussian,21.03953277542745,1.0174812443448191,13800.725785771489,0.5476469744596895
blogfeedback,7,matern52_0.8h0,matern52,9.696896866744808,0.8000000000000002,10756.855062932802,0.4661778108294078
blogfeedback,7,matern52_h0,matern52,12.121121083431008,1.0,11831.02561302876,0.48730386167157713
blogfeedback,7,matern52_1.2h0,matern52,14.545345300117209,1.2,12531.600254180754,0.5050637364597396
blogfeedback,7,gaussian_ess_matched,gaussian,11.917960018133874,0.9832390862281835,11831.02561302876,0.4838773145446893
blogfeedback,8,matern52_0.8h0,matern52,11.865386212563159,0.8,12647.727812827963,0.5003066661532557
blogfeedback,8,matern52_h0,matern52,14.831732765703949,1.0,13156.250505774324,0.5194230415950701
blogfeedback,8,matern52_1.2h0,matern52,17.79807931884474,1.2,13497.044606158037,0.5349340858244922
blogfeedback,8,gaussian_ess_matched,gaussian,15.187830038959703,1.0240091484171812,13156.250505774324,0.5187830671910763
blogfeedback,9,matern52_0.8h0,matern52,9.623332335763465,0.8,11029.154396012205,0.4427280867044441
blogfeedback,9,matern52_h0,matern52,12.02916541970433,1.0,11981.53857996442,0.46910137411993846
blogfeedback,9,matern52_1.2h0,matern52,14.434998503645197,1.2,12615.882232847254,0.4901389595683838
blogfeedback,9,gaussian_ess_matched,gaussian,11.943466192657482,0.992875712981179,11981.53857996442,0.46772735929077214
blogfeedback,10,matern52_0.8h0,matern52,15.277434915369051,0.8,13442.653369892436,0.5674252426185447
blogfeedback,10,matern52_h0,matern52,19.096793644211314,1.0,13781.867333003649,0.5775158991551573
blogfeedback,10,matern52_1.2h0,matern52,22.916152373053574,1.2,13991.251278968739,0.5858598079994188
blogfeedback,10,gaussian_ess_matched,gaussian,19.281686417077402,1.0096818752043297,13781.86733300365,0.5761569594161099
blogfeedback,11,matern52_0.8h0,matern52,11.875029484995437,0.8,12370.374467344358,0.47928584736958385
blogfeedback,11,matern52_h0,matern52,14.843786856244297,1.0,12977.33521882476,0.5027849065139974
blogfeedback,11,matern52_1.2h0,matern52,17.812544227493156,1.2,13375.440268752698,0.5212878883294279
blogfeedback,11,gaussian_ess_matched,gaussian,15.050157567796973,1.013902834468811,12977.33521882476,0.5022976051309661
blogfeedback,12,matern52_0.8h0,matern52,12.401630152850222,0.8,12592.17694025387,0.5379895479317068
blogfeedback,12,matern52_h0,matern52,15.502037691062776,1.0,13162.838301002232,0.5493644882653572
blogfeedback,12,matern52_1.2h0,matern52,18.602445229275332,1.2,13528.230474098491,0.559735723980624
blogfeedback,12,gaussian_ess_matched,gaussian,15.681081713195033,1.0115497088641114,13162.838301002232,0.5463750171854025
blogfeedback,13,matern52_0.8h0,matern52,9.573058764366841,0.8,10578.569685221903,0.4405515863387269
blogfeedback,13,matern52_h0,matern52,11.966323455458552,1.0,11687.474706223846,0.4668320168686671
blogfeedback,13,matern52_1.2h0,matern52,14.359588146550262,1.2,12418.627882967423,0.48803543379063347
