sex,age,method,dataset,reference,method_family,n_reps,coverage,bias,abs_bias,rmse,width,theta0,theta_hat_mean,n_unlab_clusters,coverage_cluster_se
1,80,GH_P1_c22,income,matern52_1.2h0,PPCI,300,0.9266666666666666,0.4111019635358984,0.4111019635358984,0.7109050553821795,2.302265452112404,6.355923559158584,6.767025522694483,15,0.011818736805705573
1,80,LO_GH_P1_c22w,income,matern52_1.2h0,LO,300,0.9266666666666666,0.40899418833263157,0.40899418833263157,0.7895150142788866,2.6174832569424233,6.355923559158584,6.764917747491216,15,0.01368581701257134
1,80,PPI_global,income,matern52_1.2h0,PPI,300,0.29333333333333333,-1.089723648585929,1.089723648585929,1.1639019950562521,1.6289184781141366,6.355923559158584,5.266199910572655,15,0.016808916756878844
1,90,GH_P1_c22,income,matern52_1.2h0,PPCI,300,0.9266666666666666,0.4804565036708234,0.4804565036708234,0.7729917493101247,2.239141895519287,6.178683117308365,6.659139620979189,15,0.014529663145135575
1,90,LO_GH_P1_c22w,income,matern52_1.2h0,LO,300,0.9266666666666666,0.45295450853612995,0.45295450853612995,0.8236445342095893,2.54715692613532,6.178683117308365,6.631637625844495,15,0.010764432909959343
1,90,PPI_global,income,matern52_1.2h0,PPI,300,0.44666666666666666,-0.877716263198685,0.877716263198685,0.9794303487593597,1.6279362804707516,6.178683117308365,5.300966854109681,15,0.03431876713662333
1,100,GH_P1_c22,income,matern52_1.2h0,PPCI,300,0.86,0.6310192418994907,0.6310192418994907,0.8606882124327938,2.23908034082387,6.051031611429182,6.682050853328673,15,0.020236694629405496
1,100,LO_GH_P1_c22w,income,matern52_1.2h0,LO,300,0.91,0.6151781689889724,0.6151781689889724,0.8879548921306674,2.537797962792325,6.051031611429182,6.666209780418154,15,0.025448360411214066
1,100,PPI_global,income,matern52_1.2h0,PPI,300,0.52,-0.7392593868410967,0.7392593868410967,0.8476956953107477,1.6184363812278608,6.051031611429182,5.311772224588085,15,0.031167748898959183
2,70,GH_P1_c15,income,matern52_1.2h0,PPCI,300,0.96,0.16316553595458952,0.16316553595458952,0.41865710277000007,1.5064926832497818,4.087704048715876,4.2508695846704665,15,0.011126972805283738
2,70,LO_GH_P1_c15w,income,matern52_1.2h0,LO,300,0.9366666666666666,0.16120313516544948,0.16120313516544948,0.46105166500081596,1.697009588406035,4.087704048715876,4.248907183881326,15,0.01333333333333333
2,70,PPI_global,income,matern52_1.2h0,PPI,300,0.26666666666666666,-0.7489252017391369,0.7489252017391369,0.7913936938061509,1.0609694273278414,4.087704048715876,3.3387788469767394,15,0.02788866755113585
2,80,GH_P1_c15,income,matern52_1.2h0,PPCI,300,0.9566666666666667,0.2954735909820036,0.2954735909820036,0.4982501621807068,1.5344689611479403,3.9282583426574877,4.223731933639491,15,0.010764432909959345
2,80,LO_GH_P1_c15w,income,matern52_1.2h0,LO,300,0.9333333333333333,0.2816091752013087,0.2816091752013087,0.5345188127238906,1.7115885182573018,3.9282583426574877,4.209867517858797,15,0.013510724722962955
2,80,PPI_global,income,matern52_1.2h0,PPI,300,0.45,-0.5737560794576957,0.5737560794576957,0.6360310875205039,1.068767272844156,3.9282583426574877,3.354502263199792,15,0.031997023671109216
2,90,GH_P1_c15,income,matern52_1.2h0,PPCI,300,0.9233333333333333,0.3942106060555057,0.3942106060555057,0.5425655553478685,1.53508543070223,3.826270645726953,4.220481251782459,15,0.014529663145135577
2,90,LO_GH_P1_c15w,income,matern52_1.2h0,LO,300,0.9366666666666666,0.3711808805269312,0.3711808805269312,0.5604774842249273,1.7130797980591077,3.826270645726953,4.197451526253884,15,0.01419814430083388
2,90,PPI_global,income,matern52_1.2h0,PPI,300,0.58,-0.4539749941951874,0.4539749941951874,0.5211949223029655,1.0770456806627597,3.826270645726953,3.3722956515317652,15,0.03039423504234847
2,100,GH_P1_c15,income,matern52_1.2h0,PPCI,300,0.8766666666666667,0.4296301588986579,0.4296301588986579,0.5914241932617046,1.5341711041638573,3.7548284536796297,4.184458612578287,15,0.027545056883770607
2,100,LO_GH_P1_c15w,income,matern52_1.2h0,LO,300,0.8733333333333333,0.4351062605234173,0.4351062605234173,0.6372003774825392,1.7146902330241465,3.7548284536796297,4.189934714203047,15,0.023838078115778715
2,100,PPI_global,income,matern52_1.2h0,PPI,300,0.6166666666666667,-0.3924118060476863,0.3924118060476863,0.4805126323965369,1.0761283018475454,3.7548284536796297,3.3624166476319433,15,0.023231068414572318
1,70,GH_P1_c22,income,gaussian_ess_matched,PPCI,300,0.9566666666666667,-0.03352307982592381,0.03352307982592381,0.5710857896478073,2.3495554427586653,6.967905707545881,6.934382627719957,15,0.01181873680570558
1,70,LO_GH_P1_c22w,income,gaussian_ess_matched,LO,300,0.9466666666666667,-0.0036598664194477447,0.0036598664194477447,0.6616332239066329,2.6653805401537576,6.967905707545881,6.9642458411264325,15,0.0124083944959956
1,70,PPI_global,income,gaussian_ess_matched,PPI,300,0.06333333333333334,-1.6581575739911356,1.6581575739911356,1.703151570210581,1.625560239635777,6.967905707545881,5.309748133554745,15,0.01333333333333333
1,80,GH_P1_c22,income,gaussian_ess_matched,PPCI,300,0.94,0.08817850983860855,0.08817850983860855,0.5866486367002195,2.302265452112404,6.678847012855874,6.767025522694483,15,0.012149857925879118
1,80,LO_GH_P1_c22w,income,gaussian_ess_matched,LO,300,0.9433333333333334,0.08607073463534173,0.08607073463534173,0.6807832864007386,2.6174832569424233,6.678847012855874,6.764917747491216,15,0.014529663145135579
1,80,PPI_global,income,gaussian_ess_matched,PPI,300,0.14333333333333334,-1.4126471022832188,1.4126471022832188,1.470626417346591,1.6289184781141366,6.678847012855874,5.266199910572655,15,0.017502834237608674
1,90,GH_P1_c22,income,gaussian_ess_matched,PPCI,300,0.93,0.1919131887128039,0.1919131887128039,0.6352231612463851,2.239141895519287,6.467226432266385,6.659139620979189,15,0.012724180205607033
1,90,LO_GH_P1_c22w,income,gaussian_ess_matched,LO,300,0.9366666666666666,0.16441119357811051,0.16441119357811051,0.707286061296208,2.54715692613532,6.467226432266385,6.631637625844495,15,0.011408712905438987
1,90,PPI_global,income,gaussian_ess_matched,PPI,300,0.27,-1.1662595781567044,1.1662595781567044,1.2446121375873176,1.6279362804707516,6.467226432266385,5.300966854109681,15,0.025260547066428274
1,100,GH_P1_c22,income,gaussian_ess_matched,PPCI,300,0.9366666666666666,0.37612875935815976,0.37612875935815976,0.6957526564733034,2.23908034082387,6.305922093970513,6.682050853328673,15,0.013333333333333332
1,100,LO_GH_P1_c22w,income,gaussian_ess_matched,LO,300,0.9533333333333334,0.3602876864476414,0.3602876864476414,0.7347291527249715,2.537797962792325,6.305922093970513,6.666209780418154,15,0.012408394495995602
1,100,PPI_global,income,gaussian_ess_matched,PPI,300,0.34,-0.9941498693824277,0.9941498693824277,1.0772267698162703,1.6184363812278608,6.305922093970513,5.311772224588085,15,0.02725540575476988
2,70,GH_P1_c15,income,gaussian_ess_matched,PPCI,300,0.9066666666666666,-0.010333798658619284,0.010333798658619284,0.3856910226737703,1.5064926832497818,4.261203383329085,4.2508695846704665,15,0.015327120894696266
2,70,LO_GH_P1_c15w,income,gaussian_ess_matched,LO,300,0.9233333333333333,-0.012296199447759278,0.012296199447759278,0.43212658276680166,1.697009588406035,4.261203383329085,4.248907183881326,15,0.015327120894696266
2,70,PPI_global,income,gaussian_ess_matched,PPI,300,0.15333333333333332,-0.9224245363523456,0.9224245363523456,0.957226225121824,1.0609694273278414,4.261203383329085,3.3387788469767394,15,0.025102962577328
2,80,GH_P1_c15,income,gaussian_ess_matched,PPCI,300,0.9566666666666667,0.12955003066799567,0.12955003066799567,0.42158248492006745,1.5344689611479403,4.094181902971496,4.223731933639491,15,0.009594972228385658
2,80,LO_GH_P1_c15w,income,gaussian_ess_matched,LO,300,0.95,0.11568561488730084,0.11568561488730084,0.46881744324422175,1.7115885182573018,4.094181902971496,4.209867517858797,15,0.00975900072948533
2,80,PPI_global,income,gaussian_ess_matched,PPI,300,0.2866666666666667,-0.7396796397717036,0.7396796397717036,0.7889648123146219,1.068767272844156,4.094181902971496,3.354502263199792,15,0.03917806318490789
2,90,GH_P1_c15,income,gaussian_ess_matched,PPCI,300,0.9733333333333334,0.24297414897943895,0.24297414897943895,0.44498518738894505,1.53508543070223,3.9775071028030196,4.220481251782459,15,0.008261595987094037
2,90,LO_GH_P1_c15w,income,gaussian_ess_matched,LO,300,0.9566666666666667,0.2199444234508645,0.2199444234508645,0.474062563024638,1.7130797980591077,3.9775071028030196,4.197451526253884,15,0.010764432909959345
2,90,PPI_global,income,gaussian_ess_matched,PPI,300,0.41,-0.6052114512712541,0.6052114512712541,0.6571390662787683,1.0770456806627597,3.9775071028030196,3.3722956515317652,15,0.033166247903554
2,100,GH_P1_c15,income,gaussian_ess_matched,PPCI,300,0.92,0.2948769998151534,0.2948769998151534,0.5021483326268822,1.5341711041638573,3.889581612763134,4.184458612578287,15,0.01745743121887939
2,100,LO_GH_P1_c15w,income,gaussian_ess_matched,LO,300,0.9166666666666666,0.30035310143991273,0.30035310143991273,0.5540025709884325,1.7146902330241465,3.889581612763134,4.189934714203047,15,0.016666666666666663
2,100,PPI_global,income,gaussian_ess_matched,PPI,300,0.4666666666666667,-0.5271649651311907,0.5271649651311907,0.5956578420778258,1.0761283018475454,3.889581612763134,3.3624166476319433,15,0.026125460427324197
