age,sex,x0_raw,theta0_mode,theta0_source,theta0,theta0_obs,theta0_smooth,ell_oracle,c_min,c_max,ell0_hat,ell_low,ell_high,ell_star,lambda_hat,lambda_1,lambda_2,den_u,R,B_inner,B,n_label,n_pilot,N_unlab_total,N_t_full,N_use,age_bin_width,PPCI_theta_mean,PPCI_theta_rmse,PPCI_coverage,PPCI_avg_ci_width,PPCI_sigma2_Y_minus_f_mean,PPCI_sigma2_f_mean,PPCI_sigma2_Y_minus_f_std,PPCI_sigma2_f_std,PPCI_sigma2_Y_minus_A_mean,PPCI_sigma2_A_mean,PPCI_sigma2_Y_minus_A_std,PPCI_sigma2_A_std,LO_theta_mean,LO_theta_rmse,LO_coverage,LO_avg_ci_width,LO_sigma2_Y_mean,LO_sigma2_Y_std,PPI_theta_mean,PPI_theta_rmse,PPI_coverage,PPI_avg_ci_width,scale_y
80,1,"[80.0, 1.0]",smooth,smooth,6.5998314609002025,5.6380906002265,6.5998314609002025,1.7909444313235898,0.8,1.2,1.8783075743149844,1.5026460594519877,2.253969089177981,1.5026460594519877,0.006442766028419785,0.006624285706818224,0.006261246350021346,0.4734215983605442,5,200,1000,300,300,10000,10000,10000,1,6.859769058751195,0.6742858711122147,0.946,2.331316055350331,24.81463869619773,4.021196306436525,11.195863265858842,0.15884801504644092,24.81463869619773,4.021196306436525,11.195863265858842,0.15884801504644092,6.856291200670462,0.746601196905504,0.938,2.648393412932393,31.806078606036728,12.45986568547463,5.305834819791062,1.3640198796305287,0.192,1.6172952146535053,10000.0
81,1,"[81.0, 1.0]",smooth,smooth,6.576680952449951,5.903658064516129,6.576680952449951,1.8346260028192871,0.8,1.2,1.9219891458106817,1.5375913166485455,2.306386974972818,1.5375913166485455,0.0061402332310890526,0.0061402332310890526,0.0061402332310890526,0.4722002743782346,5,200,1000,300,300,10000,10000,10000,1,6.82802285439087,0.6541034671713771,0.951,2.3485877229165935,25.019522866180942,4.0244826703739704,11.317698384040243,0.15272999270706397,25.019522866180942,4.0244826703739704,11.317698384040243,0.15272999270706397,6.8344280254397995,0.7314359105501494,0.949,2.6622778344888496,31.99582193508755,12.592797230831097,5.295581763077856,1.3467657809666236,0.189,1.6339265142598955,10000.0
82,1,"[82.0, 1.0]",smooth,smooth,6.554323155487663,5.740029112081514,6.554323155487663,1.8783075743149844,0.8,1.2,1.965670717306379,1.5725365738451034,2.3588048607676546,1.5725365738451034,0.0061402332310890526,0.0061402332310890526,0.0061402332310890526,0.47129238059144835,5,200,1000,300,300,10000,10000,10000,1,6.77820032990307,0.6421307081117843,0.936,2.3006706566998427,23.897230836705777,3.921168280532649,10.490997535976856,0.13544592593930319,23.897230836705777,3.921168280532649,10.490997535976856,0.13544592593930319,6.782045007114123,0.7266470147883302,0.93,2.612315063812431,30.674040340222096,11.717058747259333,5.289852000954806,1.3330697895217234,0.198,1.6134183544001606,10000.0
83,1,"[83.0, 1.0]",smooth,smooth,6.532716385825612,5.549115131578947,6.532716385825612,1.9219891458106817,0.8,1.2,2.0093522888020763,1.6074818310416612,2.4112227465624914,1.6074818310416612,0.0061402332310890526,0.0061402332310890526,0.0061402332310890526,0.4703398876177758,5,200,1000,300,300,10000,10000,10000,1,6.738500376423415,0.6440079989486742,0.927,2.2808776734987526,23.495687885971435,3.857310278155241,10.91310422766778,0.1344612613810167,23.495687885971435,3.857310278155241,10.91310422766778,0.1344612613810167,6.739735478002841,0.7234470029963329,0.931,2.595540775803646,30.146079669137343,12.122963416384133,5.275007879312176,1.3290241637271532,0.214,1.603530970031845,10000.0
84,1,"[84.0, 1.0]",smooth,smooth,6.511821961855992,5.61238475177305,6.511821961855992,1.965670717306379,0.8,1.2,2.0530338602977736,1.642427088238219,2.463640632357328,1.642427088238219,0.0061402332310890526,0.0061402332310890526,0.0061402332310890526,0.46855425143415175,5,200,1000,300,300,10000,10000,10000,1,6.815919240530735,0.6652450594689702,0.949,2.3059560220347075,23.717941156731886,3.852211347043636,10.470946039118243,0.11217843051308626,23.717941156731886,3.852211347043636,10.470946039118243,0.11217843051308626,6.7759732581509295,0.7179124917953307,0.947,2.6188805540592273,30.454817605139855,11.610018803844735,5.343067917373289,1.24149001685901,0.25,1.6324452621762977,10000.0
85,1,"[85.0, 1.0]",smooth,smooth,6.491603941585138,5.384316479400748,6.491603941585138,2.0093522888020763,0.8,1.2,2.096715431793471,1.6773723454347769,2.516058518152165,1.6773723454347769,0.0061402332310890526,0.0061402332310890526,0.0061402332310890526,0.46892272091802695,5,200,1000,300,300,10000,10000,10000,1,6.766245197143375,0.6609085651341765,0.954,2.3147715696349938,24.093394169031733,3.755246507935492,11.60205645756893,0.11611144259756813,24.093394169031733,3.755246507935492,11.60205645756893,0.11611144259756813,6.77319203900719,0.7381460568678897,0.952,2.633287513639813,30.709027419723792,12.677244242504003,5.317532390548503,1.2471696032577775,0.253,1.6377066106381615,10000.0
86,1,"[86.0, 1.0]",smooth,smooth,6.472028886351447,5.634662131519274,6.472028886351447,2.0530338602977736,0.8,1.2,2.140397003289168,1.7123176026313347,2.5684764039470016,1.7123176026313347,0.0061402332310890526,0.0061402332310890526,0.0061402332310890526,0.462856451406706,5,200,1000,300,300,10000,10000,10000,1,6.725721687174755,0.6847022193669614,0.93,2.2845312274149148,22.779859470114438,3.7349150549706875,10.396927005707965,0.10573266422009162,22.779859470114438,3.7349150549706875,10.396927005707965,0.10573266422009162,6.72721195057375,0.7636959645252481,0.925,2.5822308772465474,29.41197111321641,11.704402336728004,5.277898080870033,1.2776934761835863,0.242,1.6158079536683,10000.0
87,1,"[87.0, 1.0]",smooth,smooth,6.453065647674776,6.001992974238875,6.453065647674776,2.096715431793471,0.8,1.2,2.1840785747848654,1.7472628598278925,2.6208942897418384,1.7472628598278925,0.0061402332310890526,0.0061402332310890526,0.0061402332310890526,0.4641453425900247,5,200,1000,300,300,10000,10000,10000,1,6.654024489086324,0.6333786563335,0.94,2.241961412771467,22.00183114499796,3.6502057338427782,9.721929284928686,0.08963887049482473,22.00183114499796,3.6502057338427782,9.721929284928686,0.08963887049482473,6.69695656229506,0.7158163264418722,0.944,2.5634175859139785,28.5705446147828,10.951480826769954,5.262429203900432,1.2672423280772656,0.239,1.610973563988014,10000.0
88,1,"[88.0, 1.0]",smooth,smooth,6.434685174491138,5.2165587467362915,6.434685174491138,2.140397003289168,0.8,1.2,2.2277601462805627,1.7822081170244504,2.673312175536675,1.7822081170244504,0.0061402332310890526,0.0061402332310890526,0.0061402332310890526,0.4615556428002449,5,200,1000,300,300,10000,10000,10000,1,6.693264837712754,0.6318065105404087,0.948,2.2336532141875516,21.611950135916114,3.6575352552325544,9.710603143898492,0.09510630860473004,21.611950135916114,3.6575352552325544,9.710603143898492,0.09510630860473004,6.654708836923982,0.6909571848797746,0.95,2.539544936381459,27.89096355830761,10.742278220007366,5.301189652532519,1.2078982868314685,0.273,1.6093191753943266,10000.0
89,1,"[89.0, 1.0]",smooth,smooth,6.416860337458492,4.605033444816053,6.416860337458492,2.1840785747848654,0.8,1.2,2.27144171777626,1.8171533742210082,2.725730061331512,1.8171533742210082,0.0061402332310890526,0.0061402332310890526,0.0061402332310890526,0.46095583663859135,5,200,1000,300,300,10000,10000,10000,1,6.6616585289441606,0.6404678005527217,0.944,2.2345706647134684,21.519788438039207,3.593133220653882,9.417267173733736,0.09550457718303404,21.519788438039207,3.593133220653882,9.417267173733736,0.09550457718303404,6.651355214628493,0.7048156050543509,0.94,2.545232030091111,27.90196172497421,10.5078754205351,5.28827944598151,1.2074009756724786,0.262,1.613201861507226,10000.0
