x0_1,x0_2,x0_3,theta0,c_min,c_max,ell0_hat,ell_low,ell_high,ell_star,lambda_hat,B,n_label,n_pilot,N_unlab_total,N_t_full,N_use,PPCI_theta_mean,PPCI_theta_rmse,PPCI_coverage,PPCI_avg_ci_width,PPCI_sigma2_Y_minus_A_mean,PPCI_sigma2_A_mean,PPCI_sigma2_Y_minus_A_std,PPCI_sigma2_A_std,LO_theta_mean,LO_theta_rmse,LO_coverage,LO_avg_ci_width,LO_sigma2_Y_mean,LO_sigma2_Y_std,PPI_theta_mean,PPI_theta_rmse,PPI_coverage,PPI_avg_ci_width
0.7,0.7166666666666667,0.7,-1.3312261373038705,0.01,0.1,2.0821360300847536,0.020821360300847535,0.20821360300847536,0.20821360300847538,0.004248767179543223,500,200,200,7000,5000,2000,-1.1693342531011917,0.5996603405886429,0.916,2.028819740799517,0.0001598965045936453,0.0006439465118775515,0.00019225686393643186,0.00026708600376007,-1.1057320357616118,0.8007706048981938,0.816,2.3322746387994258,0.00033844209418179176,0.0004186082399646909,-0.0025734162494727873,1.331609986447103,0.0,0.33611102558898404
0.7,0.7166666666666667,0.7166666666666667,-1.3420625710793312,0.01,0.1,2.1091544174950903,0.0210915441749509,0.21091544174950905,0.21091544174950902,0.004248767179543223,500,200,200,7000,5000,2000,-1.2029625354722953,0.6305673362259919,0.914,2.0950311468025493,0.0001929736292357144,0.0007123028615540722,0.0002467900421290783,0.00028024094518356245,-1.179539804630698,0.7610994919005145,0.84,2.2824084536994667,0.0003395653438387324,0.0003508404629877762,0.0029574713941707682,1.3478021929402488,0.0,0.33568130616033703
0.7,0.7166666666666667,0.7333333333333333,-1.3486122889331185,0.01,0.1,2.124687438863115,0.02124687438863115,0.2124687438863115,0.21246874388631154,0.004248767179543223,500,200,200,7000,5000,2000,-1.1197861298122902,0.5868203956326837,0.918,1.983578104074749,0.0001711974504317069,0.0007018226863898713,0.00020400758997541135,0.000256441087329401,-1.1545676913780998,0.7515262203268718,0.848,2.309265978730787,0.0003582208016162192,0.0004049772391348994,0.0014697462655860556,1.3531369459105855,0.0,0.33514282480323015
0.7,0.7166666666666667,0.75,-1.350803530785809,0.01,0.1,2.134397199697553,0.02134397199697553,0.2134397199697553,0.21343971996975528,0.004248767179543223,500,200,200,7000,5000,2000,-1.2262141787026253,0.5670149574658498,0.93,2.023658340358597,0.00019074829621652063,0.0007176689131997888,0.00021333179301719952,0.00027154990504254806,-1.2177022992491502,0.7219923400692242,0.856,2.2769488591396274,0.0004384288354202152,0.0005738799472461897,-0.004369316280519646,1.3496458304920593,0.0,0.336212427954938
0.7,0.7166666666666667,0.7666666666666666,-1.3486122889331185,0.01,0.1,2.1501839932980786,0.021501839932980788,0.21501839932980787,0.21501839932980785,0.004451075427225196,500,200,200,7000,5000,2000,-1.1602802879532097,0.5507366992433476,0.928,1.9819707491812077,0.0001771778988548825,0.0006890639261500357,0.0001966889873094273,0.0002433867602243788,-1.1716918131940874,0.7597718317549491,0.808,2.2246995173970414,0.0003401447938887263,0.00038648848151505395,0.004821123870532594,1.3564126571500021,0.0,0.33538930239710757
0.7,0.7166666666666667,0.7833333333333333,-1.3420625710793312,0.01,0.1,2.1584818299807624,0.021584818299807625,0.21584818299807626,0.21584818299807626,0.004451075427225196,500,200,200,7000,5000,2000,-1.1288999849541732,0.5843959335186195,0.912,1.97923531545383,0.0001757498325113277,0.0006487710067326635,0.00021000117203188982,0.00022729994526775302,-1.1907135667637547,0.7599040945823996,0.828,2.265243393619276,0.0003718388135135663,0.0004461290458211085,0.001614685127264089,1.3464248543791415,0.0,0.33444924834066386
0.7,0.7166666666666667,0.7999999999999999,-1.3312261373038705,0.01,0.1,2.190905006348765,0.02190905006348765,0.2190905006348765,0.2190905006348765,0.004451075427225196,500,200,200,7000,5000,2000,-1.1255412363409907,0.5742046248933694,0.934,2.0104223845215814,0.00019766570845920528,0.0007265172566698311,0.00022245019752657942,0.0002612215789076212,-1.142780496469969,0.7471301834026959,0.832,2.2223517636216816,0.00036607203968435205,0.00040489352242041967,0.003730152160584915,1.337929598300097,0.0,0.3351239881296499
0.7,0.7166666666666667,0.8166666666666667,-1.3162217138428494,0.01,0.1,2.2132638737426475,0.022132638737426477,0.22132638737426477,0.22132638737426477,0.004451075427225196,500,200,200,7000,5000,2000,-1.1389775120131405,0.582092833344917,0.934,1.955505215280026,0.00019100762569438135,0.0007488126471189023,0.00020720531137827293,0.00025961655370783474,-1.0843479177061828,0.7716661243055414,0.818,2.1977181394718484,0.00038850706247015965,0.0004411395403960813,0.005865720966237828,1.3249208856628796,0.0,0.3354575950948794
0.7,0.7166666666666667,0.8333333333333333,-1.2972136922995845,0.01,0.1,2.229329193754854,0.02229329193754854,0.2229329193754854,0.2229329193754854,0.004451075427225196,500,200,200,7000,5000,2000,-1.1036944145925283,0.5755518252297963,0.922,1.9679980482354575,0.00020203957899491865,0.000744299134766366,0.00023510001787905785,0.00025838589089462996,-1.0981057516195047,0.7582210690053025,0.802,2.2458159040381953,0.00041378207851247,0.00044073105260403363,0.0029310199037280472,1.3027803331272938,0.0,0.3358651680147518
0.7,0.7166666666666667,0.85,-1.274410328535788,0.01,0.1,2.258914276109949,0.022589142761099492,0.2258914276109949,0.2258914276109949,0.004451075427225196,500,200,200,7000,5000,2000,-1.123873297413776,0.5387422629139312,0.928,1.9532559722852887,0.0002088477106783607,0.0007597765917228429,0.00022360915331787033,0.0002669299768951549,-1.0275177770985156,0.7531506694455292,0.834,2.191970668714443,0.000415368220321799,0.00045696851423145444,-0.004423341630277244,1.272749956604302,0.0,0.3352745441721466
0.7,0.7333333333333333,0.7,-1.292512040004857,0.01,0.1,2.0975330944580337,0.020975330944580338,0.2097533094458034,0.2097533094458034,0.004248767179543223,500,200,200,7000,5000,2000,-1.0869603682156719,0.5962010155454633,0.924,2.0509607654250814,0.00017498675078541221,0.0006880565140726558,0.00019664363929063885,0.00026066321990299296,-1.2246298423486597,0.7420719364414321,0.858,2.2961151116318903,0.00034805804852336387,0.0003870017991192651,-7.586346501820796e-05,1.2953740896589359,0.0,0.3354462555703906
0.7,0.7333333333333333,0.7166666666666667,-1.303348473780318,0.01,0.1,2.1132394443691616,0.021132394443691617,0.21132394443691616,0.21132394443691616,0.004248767179543223,500,200,200,7000,5000,2000,-1.1410992944718705,0.578754575175086,0.926,2.0231753821484064,0.0001816167661293896,0.000713746280311444,0.00023567133117125707,0.0002826461396955435,-1.126586330748631,0.7273678547136909,0.854,2.2583849975626893,0.00038544414048219877,0.0005456061230271074,-0.0070922917574932215,1.2989550716223017,0.0,0.33525105939720945
0.7,0.7333333333333333,0.7333333333333333,-1.309898191634105,0.01,0.1,2.139718820006439,0.02139718820006439,0.2139718820006439,0.21397188200064393,0.004248767179543223,500,200,200,7000,5000,2000,-1.1448968946548894,0.5754819124535318,0.912,2.030742780945742,0.00020099013201755228,0.0007664332553444692,0.00025320261074753247,0.00029348739368620765,-1.1077934614398262,0.7831174704938538,0.838,2.291344303966069,0.0004346826658578452,0.0005645122007988865,0.0009438380752805252,1.3136215680931302,0.0,0.33578073008910736
