sex,age,method,n_reps,n_unlab_clusters,coverage,coverage_cluster_se,coverage_cluster_sd,bias,abs_bias,rmse,se_mean,width,emp_sd,theta0_mean,theta_hat_mean,sigma2_Y_mean,sigma2_Y_minus_f_mean,sigma2_f_mean,lambda_factor_mean,h_factor_mean,k_target_mean,R_MB_mean,R_GH_mean,bias_score_mean,bias_budget_mean,gh_gamma_eff_mean,edge_score_mean,pc_ratio_mean,fallback_rate,width_ratio_vs_GH_P1_c22,rmse_ratio_vs_GH_P1_c22,width_ratio_vs_GH_P1_c15,rmse_ratio_vs_GH_P1_c15,theta0,dataset,reference,method_family,bias_rescored,rmse_rescored
1,78,LO_GH_P1_c22w,1000,50,0.937,0.0081828591380683,0.0578615518602246,0.1606742292533843,0.1606742292533843,0.708014464864538,0.6691494438204146,2.623065819776025,0.6898871057861417,6.64869416044111,6.809368389694496,33.55671087456454,,,,,4552.53,30.37242138747307,19.166317847396755,19.166317847396755,22.0,0.3821157885682916,0.8227082114727398,17.01603358591637,,1.1333267586716669,1.1229251244641738,,,6.9437833741243,income,matern52_0.8h0,LO,-0.13441498442980393,0.702520933887748
1,78,PPI_global,1000,50,0.161,0.0108128796972378,0.0764586055807123,-1.3759768491597115,1.3759768491597115,1.4386097491390453,0.41191174640239,1.6146940458973686,0.4200740209504707,6.64869416044111,5.272717311281402,,,,,,,,,,,,,,,0.6976477507680536,2.281663880859292,,,6.9437833741243,income,matern52_0.8h0,PPI,-1.6710660628428986,1.7230053706473714
1,79,GH_P1_c22,1000,50,0.942,0.0088479214669725,0.0625642526870234,0.1680348061671764,0.1680348061671764,0.6224955846678256,0.583135752421958,2.285892149494076,0.5996871530463417,6.62381966116426,6.791854467331437,32.513622196602554,25.30024710821856,4.288723306078432,316.227766016838,1.3999999999999997,4566.52,31.97035874085056,19.36731825213671,19.36731825213671,22.0,0.3821157885682916,0.8312030370237108,16.507436548157667,0.0,1.0,1.0,,,6.918044472485533,income,matern52_0.8h0,PPCI,-0.12619000515409518,0.612526713089387
1,79,LO_GH_P1_c22w,1000,50,0.937,0.0086673207497814,0.0612872127688932,0.1631109469738772,0.1631109469738772,0.7062917782779002,0.6621169574545479,2.595498473221828,0.687543170027086,6.62381966116426,6.786930608138138,32.50289819509625,,,,,4566.52,31.97035874085056,19.36731825213671,19.36731825213671,22.0,0.3821157885682916,0.8312030370237108,16.507436548157667,,1.1354422271393143,1.1346133140121624,,,6.918044472485533,income,matern52_0.8h0,LO,-0.13111386434739458,0.6995954119806322
1,79,PPI_global,1000,50,0.137,0.0106722986832112,0.0754645476974696,-1.361421166612929,1.361421166612929,1.4243217435620918,0.40940679998972,1.6048746559597025,0.4188081141985762,6.62381966116426,5.262398494551332,,,,,,,,,,,,,,,0.702078029497105,2.2880832870840915,,,6.918044472485533,income,matern52_0.8h0,PPI,-1.655645977934201,1.7077436694456654
1,80,GH_P1_c22,1000,50,0.939,0.008486483851588,0.0600085027988806,0.1788150322561844,0.1788150322561844,0.6339219624955985,0.5864421597217788,2.298853266109373,0.6084837641751466,6.599831460900203,6.778646493156388,32.823618981557594,25.60414180436509,4.230386129989087,316.227766016838,1.3999999999999997,4581.3,33.6974619250976,19.567300188358164,19.567300188358164,22.0,0.3821157885682916,0.839284229946235,15.92871965359845,0.0,1.0,1.0,,,6.893165066369206,income,matern52_0.8h0,PPCI,-0.114518573212818,0.6188673059583857
1,80,LO_GH_P1_c22w,1000,50,0.94,0.0078246079643595,0.0553283335172488,0.1816938611219083,0.1816938611219083,0.7162096786480182,0.666746786923098,2.6136474047385443,0.6931263006757128,6.599831460900203,6.781525322022113,32.81140032481266,,,,,4581.3,33.6974619250976,19.567300188358164,19.567300188358164,22.0,0.3821157885682916,0.839284229946235,15.92871965359845,,1.136935289985661,1.1298073280636511,,,6.893165066369206,income,matern52_0.8h0,LO,-0.11163974434709267,0.7017172344595752
1,80,PPI_global,1000,50,0.174,0.0113605116297548,0.0803309481114831,-1.3334100069403805,1.3334100069403805,1.3988723711058266,0.4122001825438382,1.6158247155718457,0.4231320180974629,6.599831460900203,5.266421453959825,,,,,,,,,,,,,,,0.7028829283682385,2.206694914936852,,,6.893165066369206,income,matern52_0.8h0,PPI,-1.6267436124093813,1.6808201701994225
1,81,GH_P1_c22,1000,50,0.951,0.0073526338471187,0.0519909725287938,0.1917350606170652,0.1917350606170652,0.642076835319959,0.5821344872828961,2.281967190148953,0.613087436822721,6.576680952449951,6.768416013067017,32.226198193616824,25.07036015986503,4.188974433697066,316.227766016838,1.3999999999999997,4594.74,35.38267566895022,19.761017982664665,19.761017982664665,22.0,0.3821157885682916,0.8465658700805613,15.36065306036346,0.0,1.0,1.0,,,6.869093657605527,income,matern52_0.8h0,PPCI,-0.1006776445385098,0.6209962295332289
1,81,LO_GH_P1_c22w,1000,50,0.955,0.0053927388823362,0.0381324223286832,0.189037981341445,0.189037981341445,0.7085823526812073,0.6605230712557317,2.589250439322468,0.6832425722641561,6.576680952449951,6.765718933791397,32.21713240786832,,,,,4594.74,35.38267566895022,19.761017982664665,19.761017982664665,22.0,0.3821157885682916,0.8465658700805613,15.36065306036346,,1.1346571723292207,1.1035787521101077,,,6.869093657605527,income,matern52_0.8h0,LO,-0.10337472381413004,0.6906807697230567
1,81,PPI_global,1000,50,0.184,0.0102459549011663,0.0724498419034626,-1.305040736875979,1.305040736875979,1.371742989743746,0.4105215468493136,1.6092444636493095,0.4227602526687527,6.576680952449951,5.2716402155739726,,,,,,,,,,,,,,,0.7052005263687722,2.136415634836258,,,6.869093657605527,income,matern52_0.8h0,PPI,-1.5974534420315543,1.65239371956679
1,82,GH_P1_c22,1000,50,0.945,0.0053927388823362,0.0381324223286832,0.2097128774102343,0.2097128774102343,0.6384905170584929,0.5776600925685609,2.2644275628687587,0.6033694590597602,6.554323155487665,6.764036032897897,31.525495444310977,24.4136801528933,4.1427479116668025,316.227766016838,1.3999999999999997,4605.1,36.935487018995005,19.94456042437817,19.94456042437817,22.0,0.3821157885682916,0.8526833062220447,14.749158433910178,0.0,1.0,1.0,,,6.845782836729963,income,matern52_0.8h0,PPCI,-0.08174680383206656,0.6085829354810238
1,82,LO_GH_P1_c22w,1000,50,0.947,0.0057870368858654,0.0409205302497214,0.2179195280884258,0.2179195280884258,0.7016232400121601,0.6560994067181714,2.571909674335232,0.6672566835068522,6.554323155487665,6.7722426835760885,31.51426806574452,,,,,4605.1,36.935487018995005,19.94456042437817,19.94456042437817,22.0,0.3821157885682916,0.8526833062220447,14.749158433910178,,1.1357880095210156,1.098878090225236,,,6.845782836729963,income,matern52_0.8h0,LO,-0.07354015315387485,0.6709652780351412
1,82,PPI_global,1000,50,0.197,0.0119018091576234,0.084158499637437,-1.2634599425120911,1.2634599425120911,1.3329411092519965,0.4110842161183539,1.6114501271839472,0.4249488862878023,6.554323155487665,5.290863212975571,,,,,,,,,,,,,,,0.7116368629352103,2.087644332437101,,,6.845782836729963,income,matern52_0.8h0,PPI,-1.554919623754392,1.6118858553687314
1,83,GH_P1_c22,1000,50,0.947,0.0077472839216892,0.05478156996804,0.2374889662141565,0.2374889662141565,0.6360454794983949,0.5867565580624998,2.300085707605,0.5903400242751081,6.53271638582561,6.770205352039769,32.22129153927835,25.13980331544532,4.080659468265667,316.227766016838,1.3999999999999997,4615.82,38.61981893432706,20.1363140002305,20.1363140002305,22.0,0.3821157885682916,0.8589217969792237,14.046474468327585,0.0,1.0,1.0,,,6.823188951436353,income,matern52_0.8h0,PPCI,-0.05298359939658415,0.5924188591882368
1,83,LO_GH_P1_c22w,1000,50,0.948,0.0068452277432633,0.0484030695602783,0.2318146902236655,0.2318146902236655,0.7011368944644881,0.6660838302327649,2.6110486145124376,0.6620371495340545,6.53271638582561,6.764531076049278,32.214182353547635,,,,,4615.82,38.61981893432706,20.1363140002305,20.1363140002305,22.0,0.3821157885682916,0.8589217969792237,14.046474468327585,,1.1351962258968311,1.10233767405662,,,6.823188951436353,income,matern52_0.8h0,LO,-0.05865787538707501,0.6643008659641642
1,83,PPI_global,1000,50,0.218,0.0145518075179963,0.1028968177449663,-1.2343185016309293,1.2343185016309293,1.302607308204945,0.4154636183048134,1.6286173837548683,0.4164337317911265,6.53271638582561,5.298397884194682,,,,,,,,,,,,,,,0.7080681291005856,2.047978250285217,,,6.823188951436353,income,matern52_0.8h0,PPI,-1.5247910672416705,1.580579461672365
1,84,GH_P1_c22,1000,50,0.938,0.0085188865805003,0.0602376246923086,0.2125569746107927,0.2125569746107927,0.6643996135140923,0.5779856167891986,2.265703617813659,0.6297960161861823,6.511821961855987,6.724378936466783,31.213129203738216,24.286059263218792,4.037487567935491,316.227766016838,1.3999999999999997,4628.52,40.44484905099451,20.32239375155615,20.32239375155615,22.0,0.3821157885682916,0.8650263008651946,13.335264881311687,0.0,1.0,1.0,,,6.801271808779809,income,matern52_0.8h0,PPCI,-0.07689287231302622,0.6341599899035963
