dataset,sex,age,reference,kernel,bandwidth,bandwidth_over_h0,ess,theta0
income,1,100,matern52_1.2h0,matern52,3.1974910334850426,1.2,173496.85874485012,6.051031611429182
income,1,100,gaussian_ess_matched,gaussian,2.5204189437382425,0.9458987377329385,164455.54681959125,6.305922093970513
income,2,70,matern52_0.8h0,matern52,0.9488793804842532,0.8,121559.3638180903,4.304554337927573
income,2,70,matern52_h0,matern52,1.1860992256053164,1.0,140189.86420850482,4.200841915640371
income,2,70,matern52_1.2h0,matern52,1.4233190707263796,1.2,154444.65925256303,4.087704048715876
income,2,70,gaussian_ess_matched,gaussian,1.1562460003914232,0.9748307522933776,140189.86420850482,4.261203383329085
income,2,71,matern52_0.8h0,matern52,0.9827679297872622,0.8,122517.00810538106,4.283875305639669
income,2,71,matern52_h0,matern52,1.2284599122340778,1.0,141342.04199526474,4.180170525487306
income,2,71,matern52_1.2h0,matern52,1.4741518946808934,1.2,155585.06693850702,4.067765642731436
income,2,71,gaussian_ess_matched,gaussian,1.1953810704967236,0.9730729172291858,141342.04199526476,4.240935768523195
income,2,72,matern52_0.8h0,matern52,1.0166564790902715,0.8000000000000002,123440.69757957131,4.264376316256487
income,2,72,matern52_h0,matern52,1.2708205988628392,1.0,142454.60656301666,4.160599118732095
income,2,72,matern52_1.2h0,matern52,1.5249847186354069,1.2,156676.33361271728,4.048911056744343
income,2,72,gaussian_ess_matched,gaussian,1.2344167787031866,0.9713540839735935,142454.60656301666,4.221655867198825
income,2,73,matern52_0.8h0,matern52,1.0505450283932802,0.8,124339.60738189102,4.245963471781525
income,2,73,matern52_h0,matern52,1.3131812854916003,1.0,143533.8536434336,4.142039910408992
income,2,73,matern52_1.2h0,matern52,1.5758175425899204,1.2,157723.71183332577,4.031053317142431
income,2,73,gaussian_ess_matched,gaussian,1.2733736263937503,0.9696860901555205,143533.8536434336,4.203275374030284
income,2,74,matern52_0.8h0,matern52,1.0844335776962895,0.8,125221.29313752596,4.228550183606426
income,2,74,matern52_h0,matern52,1.3555419721203616,1.0,144584.75372413776,4.124413335208498
income,2,74,matern52_1.2h0,matern52,1.6266503665444338,1.2,158731.43461725928,4.014114157742465
income,2,74,gaussian_ess_matched,gaussian,1.312271546989151,0.9680788747075635,144584.75372413776,4.185715551728492
income,2,75,matern52_0.8h0,matern52,1.1183221269992984,0.8,126091.90047192838,4.212056687628025
income,2,75,matern52_h0,matern52,1.397902658749123,1.0,145611.17944726456,4.10764725441503
income,2,75,matern52_1.2h0,matern52,1.6774831904989476,1.2,159702.9168835316,3.9980230358901485
income,2,75,gaussian_ess_matched,gaussian,1.3511293910174558,0.9665403971879407,145611.1794472646,4.16890640801373
income,2,76,matern52_0.8h0,matern52,1.1522106763023074,0.7999999999999999,126956.34645802119,4.196409554551929
income,2,76,matern52_h0,matern52,1.4402633453778844,1.0,146616.09914682378,4.09167622576521
income,2,76,matern52_1.2h0,matern52,1.7283160144534613,1.2,160640.92027225823,3.9827162627865937
income,2,76,gaussian_ess_matched,gaussian,1.3899645663084113,0.9650766790456116,146616.0991468238,4.152785873122274
income,2,77,matern52_0.8h0,matern52,1.1860992256053167,0.8,127818.47884878938,4.181541215443824
income,2,77,matern52_h0,matern52,1.4826240320066457,1.0,147601.7413691812,4.076440837918264
income,2,77,matern52_1.2h0,matern52,1.7791488384079748,1.2,161547.68752874096,3.968136236755099
income,2,77,gaussian_ess_matched,gaussian,1.4287928120911624,0.9636919281264948,147601.7413691812,4.137298998015388
income,2,78,matern52_0.8h0,matern52,1.2199877749083257,0.8000000000000002,128681.21788194311,4.167389526107398
income,2,78,matern52_h0,matern52,1.5249847186354069,1.0,148569.73461447653,4.0618871114840305
income,2,78,matern52_1.2h0,matern52,1.829981662362488,1.2,162425.0517110393,3.9542307694841896
income,2,78,gaussian_ess_matched,gaussian,1.4676280841959435,0.9623887152844472,148569.73461447656,4.1223971879763885
income,2,79,matern52_0.8h0,matern52,1.2538763242113347,0.8,129546.68292999205,4.153897364403378
income,2,79,matern52_h0,matern52,1.5673454052641682,1.0,149521.2255497461,4.047965960444719
income,2,79,matern52_1.2h0,matern52,1.8808144863170018,1.2,163274.52451463992,3.940952493767581
income,2,79,gaussian_ess_matched,gaussian,1.5064825238632193,0.9611681756959687,149521.22554974613,4.108037484494516
income,2,80,matern52_0.8h0,matern52,1.2877648735143437,0.8,130416.30581723845,4.141012257759843
income,2,80,matern52_h0,matern52,1.6097060918929296,1.0,150456.9785722679,4.034632708558937
income,2,80,matern52_1.2h0,matern52,1.9316473102715155,1.2,164097.36734485708,3.9282583426574877
income,2,80,gaussian_ess_matched,gaussian,1.5453664868900145,0.9600302158717341,150456.97857226795,4.094181902971496
income,2,81,matern52_0.8h0,matern52,1.3216534228173529,0.8,131290.93289096802,4.128686036058374
income,2,81,matern52_h0,matern52,1.652066778521691,1.0,151377.45943221575,4.021846654744076
income,2,81,matern52_1.2h0,matern52,1.982480134226029,1.2,164894.64824839428,3.9161090907454
income,2,81,gaussian_ess_matched,gaussian,1.5842886171399029,0.9589737156736258,151377.45943221575,4.080796828246475
income,2,82,matern52_0.8h0,matern52,1.3555419721203616,0.8,132170.91740812454,4.116874519095864
income,2,82,matern52_h0,matern52,1.694427465150452,1.0,152282.90523392084,4.0095706855799635
income,2,82,matern52_1.2h0,matern52,2.0333129581805425,1.2,165667.28728945972,3.9044689507407013
income,2,82,gaussian_ess_matched,gaussian,1.6232559518249705,0.9579967187800735,152282.9052339209,4.067852467517977
income,2,83,matern52_0.8h0,matern52,1.3894305214233709,0.8,133056.20339985835,4.105537254636165
income,2,83,matern52_h0,matern52,1.7367881517792134,1.0,153173.38279886835,3.9977709352061988
income,2,83,matern52_1.2h0,matern52,2.084145782135056,1.2,166416.09251111708,3.8933052201260243
income,2,83,gaussian_ess_matched,gaussian,1.6622740489009358,0.9570966080106297,153173.38279886835,4.055322358598931
income,2,84,matern52_0.8h0,matern52,1.4233190707263799,0.8,133946.4011753979,4.094637287307949
income,2,84,matern52_h0,matern52,1.7791488384079748,1.0,154048.83689605276,3.986416483601141
income,2,84,matern52_1.2h0,matern52,2.1349786060895695,1.2,167141.7881875702,3.8825879701857264
income,2,84,gaussian_ess_matched,gaussian,1.7013471259326172,0.9562702620512759,154048.83689605276,4.043182931964301
