dataset,sex,age,reference,kernel,bandwidth,bandwidth_over_h0,ess,theta0,theta0_baseline,shift,abs_shift
income,1,82,matern52_h0,matern52,1.8783075743149844,1.0,152551.0470673809,6.554323155487662,6.554323155487662,0.0,0.0
income,1,82,matern52_1.2h0,matern52,2.253969089177981,1.2,164851.89379436275,6.315190704262289,6.554323155487662,-0.2391324512253732,0.2391324512253732
income,1,82,gaussian_ess_matched,gaussian,1.78590228828537,0.950803964540624,152551.04706738092,6.6315349361009135,6.554323155487662,0.07721178061325151,0.07721178061325151
income,1,83,matern52_0.8h0,matern52,1.5375913166485455,0.8,133935.21809598687,6.823188951436353,6.532716385825616,0.2904725656107372,0.2904725656107372
income,1,83,matern52_h0,matern52,1.9219891458106817,1.0,153344.91714766654,6.532716385825616,6.532716385825616,0.0,0.0
income,1,83,matern52_1.2h0,matern52,2.306386974972818,1.2,165476.40264598592,6.295941039786368,6.532716385825616,-0.23677534603924766,0.23677534603924766
income,1,83,gaussian_ess_matched,gaussian,1.8262160485350118,0.9501698032559526,153344.91714766654,6.60890577486182,6.532716385825616,0.07618938903620442,0.07618938903620442
income,1,84,matern52_0.8h0,matern52,1.5725365738451034,0.8,134808.60323393013,6.801271808779809,6.511821961855993,0.2894498469238158,0.2894498469238158
income,1,84,matern52_h0,matern52,1.965670717306379,1.0,154123.685274289,6.511821961855993,6.511821961855993,0.0,0.0
income,1,84,matern52_1.2h0,matern52,2.3588048607676546,1.2,166081.31847671964,6.277382775949003,6.511821961855993,-0.2344391859069903,0.2344391859069903
income,1,84,gaussian_ess_matched,gaussian,1.8665974243834678,0.9495982251500015,154123.68527428902,6.586921987060813,6.511821961855993,0.07510002520481951,0.07510002520481951
income,1,85,matern52_0.8h0,matern52,1.6074818310416612,0.8,135682.07939479093,6.77999440029616,6.491603941585136,0.2883904587110244,0.2883904587110244
income,1,85,matern52_h0,matern52,2.0093522888020763,1.0,154887.1392169244,6.491603941585136,6.491603941585136,0.0,0.0
income,1,85,matern52_1.2h0,matern52,2.4112227465624914,1.2,166667.15776986466,6.259479589734695,6.491603941585136,-0.232124351850441,0.232124351850441
income,1,85,gaussian_ess_matched,gaussian,1.907045752676979,0.9490848186775204,154887.1392169244,6.565557253585333,6.491603941585136,0.07395331200019761,0.07395331200019761
income,1,86,matern52_0.8h0,matern52,1.642427088238219,0.8,136554.43335302992,6.759322647359173,6.472028886351448,0.2872937610077253,0.2872937610077253
income,1,86,matern52_h0,matern52,2.0530338602977736,1.0,155635.0867206118,6.472028886351448,6.472028886351448,0.0,0.0
income,1,86,matern52_1.2h0,matern52,2.463640632357328,1.2,167234.42522742273,6.242197672534695,6.472028886351448,-0.22983121381675353,0.22983121381675353
income,1,86,gaussian_ess_matched,gaussian,1.9475598482072318,0.9486252934594835,155635.08672061184,6.544787301867952,6.472028886351448,0.0727584155165042,0.0727584155165042
income,1,87,matern52_0.8h0,matern52,1.6773723454347769,0.8,137424.44946485586,6.7392251639209935,6.453065647674777,0.28615951624621605,0.28615951624621605
income,1,87,matern52_h0,matern52,2.096715431793471,1.0,156367.36447968232,6.453065647674777,6.453065647674777,0.0,0.0
income,1,87,matern52_1.2h0,matern52,2.516058518152165,1.2,167783.61773884692,6.225505516069955,6.453065647674777,-0.22756013160482258,0.22756013160482258
income,1,87,gaussian_ess_matched,gaussian,1.9881381007893044,0.9482155139616193,156367.36447968232,6.524589615167839,6.453065647674777,0.07152396749306167,0.07152396749306167
income,1,88,matern52_0.8h0,matern52,1.7123176026313347,0.8,138290.93285398994,6.719673035123478,6.434685174491138,0.2849878606323397,0.2849878606323397
income,1,88,matern52_h0,matern52,2.140397003289168,1.0,157083.84421544077,6.434685174491138,6.434685174491138,0.0,0.0
income,1,88,matern52_1.2h0,matern52,2.5684764039470016,1.2,168315.22693116777,6.209373719820048,6.434685174491138,-0.2253114546710897,0.2253114546710897
