age,sex,x0_raw,tau,theta0_mode,theta0_source,theta0,theta0_obs,theta0_smooth,ell_oracle,c_min,c_max,ell0_hat,ell_low,ell_high,ell_star,lambda_hat,B,n_label,n_pilot,N_unlab_total,N_t_full,N_use,age_bin_width,PPCI_theta_mean,PPCI_theta_rmse,PPCI_coverage,PPCI_avg_ci_width,PPCI_sigma2_Y_minus_A_mean,PPCI_sigma2_Y_minus_A_std,PPCI_sigma2_A_mean,PPCI_sigma2_A_std,PPCILO_theta_mean,PPCILO_theta_rmse,PPCILO_coverage,PPCILO_avg_ci_width,PPCILO_sigma2_Y_mean,PPCILO_sigma2_Y_std,PPI_theta_mean,PPI_theta_rmse,PPI_coverage,PPI_avg_ci_width,scale_y
80,1,"[80.0, 1.0]",0.5,smooth,smooth,3.69,3.56,3.69,1.7909444313235898,1.1,1.2,1.7691036455757412,1.9460140101333154,2.1229243746908892,1.9460140101333154,0.00921034984663358,500,200,200,10000,7000,3000,1,3.8579351514064277,0.38703263028388035,0.93,1.335483765882687,0.044395567968453495,0.009042067700613577,0.057441709951641766,0.005778449294855878,3.883111842042921,0.4535850548081371,0.934,1.5949157888991354,0.06821388187207679,0.0064567717650809405,2.4940100523107844,1.239315705741976,0.19,1.4467694634497799,10000.0
81,1,"[81.0, 1.0]",0.5,smooth,smooth,3.67,3.38,3.67,1.8346260028192871,1.1,1.2,1.8127852170714385,1.9940637387785825,2.175342260485726,1.9940637387785825,0.00921034984663358,500,200,200,10000,7000,3000,1,3.834821098240116,0.4082980462215498,0.916,1.327819534391024,0.04367778720008948,0.00909081636717749,0.05739141285133862,0.005631796077156663,3.864979755947495,0.4697763880471562,0.924,1.6077721943600365,0.06816115243181325,0.006441180780270211,2.496206200348288,1.2222983078773377,0.198,1.4738755704037636,10000.0
82,1,"[82.0, 1.0]",0.5,smooth,smooth,3.64,3.16,3.64,1.8783075743149844,1.1,1.2,1.9219891458106817,2.1141880603917502,2.306386974972818,2.1141880603917502,0.00921034984663358,500,200,200,10000,7000,3000,1,3.7682635056078957,0.37318131807881205,0.918,1.293257410021245,0.044217572202376,0.00891167188507407,0.05949239453223532,0.005846024200568401,3.7567578982757697,0.45104392428624723,0.91,1.5579709347567585,0.0699950945846161,0.006863477526676826,2.5045057008543212,1.1892497265234312,0.206,1.467745583755926,10000.0
83,1,"[83.0, 1.0]",0.5,smooth,smooth,3.6,3.2350000000000003,3.6,1.9219891458106817,1.1,1.2,1.9875115030542276,2.1862626533596505,2.385013803665073,2.1862626533596505,0.00921034984663358,500,200,200,10000,7000,3000,1,3.7485937301169954,0.378533377221299,0.932,1.2966687298496034,0.04424056160729681,0.009635185823764507,0.060022576771773375,0.006137835698226179,3.7329837455135286,0.44295902034687223,0.94,1.5558271340893084,0.0704594156231484,0.006718596511644919,2.4822113263593737,1.1706737687225965,0.206,1.4745150722831677,10000.0
84,1,"[84.0, 1.0]",0.5,smooth,smooth,3.6,2.9,3.6,1.965670717306379,1.1,1.2,2.031193074549925,2.2343123820049176,2.4374316894599097,2.2343123820049176,0.00921034984663358,500,200,200,10000,7000,3000,1,3.7438896340696117,0.36795031540381684,0.942,1.2885265402486734,0.04462798954277645,0.00923436129217643,0.059772648764857064,0.005969821729568848,3.728599019862535,0.44868590042897444,0.94,1.5477918254993437,0.07042605158856714,0.006527909423333804,2.5128917791156375,1.1432362360759944,0.23,1.457423391082035,10000.0
85,1,"[85.0, 1.0]",0.5,smooth,smooth,3.6,2.9850000000000003,3.6,2.0093522888020763,1.1,1.2,1.8564667885671358,2.0421134674238495,2.2277601462805627,2.0421134674238495,0.00921034984663358,500,200,200,10000,7000,3000,1,3.8456311002036654,0.43291100379767017,0.908,1.341927276096014,0.04024945567140234,0.008854520041147104,0.052308139499235816,0.005523743140362418,3.853658244795774,0.5061244969614803,0.906,1.5972011747237163,0.062158964805338585,0.005716262371952161,2.5051734638796024,1.1361313704054996,0.222,1.4559275647225929,10000.0
86,1,"[86.0, 1.0]",0.5,smooth,smooth,3.6,2.93,3.6,2.0530338602977736,1.1,1.2,2.0093522888020763,2.2102875176822843,2.4112227465624914,2.2102875176822843,0.00921034984663358,500,200,200,10000,7000,3000,1,3.7657337018900288,0.3953431068738532,0.91,1.3052346510170354,0.04192556169891364,0.008673115036116702,0.05576701297617349,0.005402500498707547,3.736228324977877,0.43752467691224217,0.938,1.5569231680548374,0.06556334495578225,0.006071357893000119,2.5107649157636707,1.141621398609678,0.212,1.4455705245504569,10000.0
87,1,"[87.0, 1.0]",0.5,smooth,smooth,3.58,3.1,3.58,2.096715431793471,1.1,1.2,2.096715431793471,2.3063869749728183,2.516058518152165,2.3063869749728183,0.00921034984663358,500,200,200,10000,7000,3000,1,3.7342618415173203,0.37727629500782656,0.934,1.2903014884153698,0.042498130219564896,0.008665070912905724,0.05726623673438087,0.005882860105386915,3.73739873747898,0.46072263111484385,0.918,1.5590108055210046,0.06748480103343667,0.006348269454216256,2.5308534914339313,1.1036368368390226,0.302,1.4770887954800629,10000.0
88,1,"[88.0, 1.0]",0.5,smooth,smooth,3.54,3.19,3.54,2.140397003289168,1.1,1.2,2.096715431793471,2.3063869749728183,2.516058518152165,2.3063869749728183,0.00921034984663358,500,200,200,10000,7000,3000,1,3.740730947711348,0.39070947319574295,0.904,1.2937919512318221,0.04089631616960431,0.008441922082581068,0.05505132859407615,0.005392650774796725,3.733998087368654,0.4379097169785556,0.932,1.5577196728521867,0.06482891722539946,0.005975992763487458,2.5133733077473988,1.0775743970602196,0.284,1.4363268129342373,10000.0
89,1,"[89.0, 1.0]",0.5,smooth,smooth,3.5,2.3,3.5,2.1840785747848654,1.1,1.2,2.358804860767655,2.594685346844421,2.830565832921186,2.594685346844421,0.00921034984663358,500,200,200,10000,7000,3000,1,3.612045203310572,0.3275115569460022,0.942,1.2207509951512103,0.043134914644475775,0.009129335987159364,0.061716400412029054,0.00606387102138961,3.622128865845836,0.43331671731101723,0.932,1.5098169244854824,0.07221848554081632,0.006336863534575534,2.4997777100770446,1.0528541292870452,0.306,1.4684782616743564,10000.0
