setting,method,x0_index,x0_1,n_reps,n_unlab_clusters,coverage,coverage_cluster_se,coverage_cluster_sd,bias,rmse,se_mean,width,emp_sd,omega_mean,omega_clipped_rate,omega_sd_mean,omega_min_mean,omega_max_mean,sigma2_Y_mean,sigma2_Y_minus_f_mean,sigma2_f_mean,tuning_seconds_mean_per_unlab_draw,estimation_seconds_mean,amortized_procedure_seconds_mean,x0_2,x0_3
base_q0.5_s1,PPCI++,1,0.7,1000,50,0.936,0.0070043718126464,0.049528388066742,-0.0186744460048002,0.3090980499981876,0.2940061050073024,1.1525039316286252,0.30868779978618,0.2271014960993544,0.1342,0.0981937274278154,0.1318462426255695,0.3738106842544882,43.623517348207045,42.89566491449818,36.945347925406,11.36372777696699,0.0015660078730434,0.5697523967213929,0.7,0.85
base_q0.5_s1,PPCI++,2,0.7,1000,50,0.942,0.0077406955337966,0.05473498303048,-0.0152061240950717,0.30436991219462,0.2940811673426109,1.152798175983035,0.3041419398223877,0.2399050832331733,0.1466,0.112577625871732,0.1330680498831668,0.4108957613180031,44.32876593981364,43.18359990127265,28.87366922071958,11.365334635414182,0.0015662969611585,0.5698330287318676,0.85,0.7
base_q0.5_s1,PPCI++,3,0.7,1000,50,0.931,0.007268888133262,0.05139880090716,0.0247060173176395,0.2979543562323833,0.2814120417436152,1.1031352036349718,0.2970768684565097,0.2276722635159404,0.1958,0.1154866997177436,0.1241139623889609,0.4070559632031851,39.309047745269375,39.11792957424768,22.268086008374254,11.3846619046852,0.0015690921479836,0.5708021873822435,0.85,0.85
base_q0.5_s1,PPCI++,4,0.85,1000,50,0.927,0.0073136718492401,0.0517154695997084,-0.0096092089496392,0.2981003811688965,0.2811444699144623,1.1020863220646924,0.298094549962123,0.2350825891753506,0.1184,0.0958052583089533,0.1397474523419381,0.3764294005477083,42.87225585635523,41.8101046407139,31.57622490297125,11.38797388382256,0.0015706455260515,0.5709693397171796,0.7,0.7
base_q0.5_s1,PPCI++,5,0.85,1000,50,0.922,0.0090531311530027,0.0640153042925945,0.0055864806065959,0.2838866779416437,0.2695575438902279,1.0566655720496934,0.2839737280549032,0.2357234277092213,0.1318,0.0995237363351417,0.1355723298096421,0.3813201478804936,37.88610375370741,37.224357509399,26.403945989260283,11.3816378422454,0.0015759117612615,0.5706578038735315,0.7,0.85
base_q0.5_s1,PPCI++,6,0.85,1000,50,0.949,0.0066224725637138,0.0468279525802393,-0.0042716250124496,0.2758767573456652,0.2750399967325665,1.0781567871916606,0.2759817102050057,0.2461316871391755,0.1806,0.1196252660646932,0.131455561723412,0.4245744786840048,39.45174211299891,39.35022990255604,18.79882712353915,11.26392232492566,0.0016153086163103,0.5648114248625934,0.85,0.7
base_q0.5_s1,PPCI++,7,0.85,1000,50,0.911,0.0092901088502223,0.0656909896595338,-0.0109370718208629,0.2860935436153465,0.2641418321377007,1.035435981979787,0.2860274599863406,0.260373306546199,0.157,0.1192816874875178,0.1462364743510886,0.4403760288783362,37.20272968479156,36.31152957623072,17.085822285512105,11.286751673445105,0.0016107306750491,0.5659483143473044,0.85,0.85
base_q0.5_s1,PPI,0,0.7,1000,50,0.0,0.0,0.0,1.3709772387442494,1.3719775009783477,0.053311595208415,0.2089814532169871,0.0524063016863594,,,,,,,,,0.0,8.316394779831171e-05,8.316394779831171e-05,0.7,0.7
base_q0.5_s1,PPI,1,0.7,1000,50,0.0,0.0,0.0,1.313867272616391,1.3148882731334737,0.0532643764446977,0.2087963556632151,0.051832879708861,,,,,,,,,0.0,8.261040784418583e-05,8.261040784418583e-05,0.7,0.85
base_q0.5_s1,PPI,2,0.7,1000,50,0.0,0.0,0.0,1.0574344531523403,1.0587896639870311,0.0531963827114858,0.2085298202290245,0.0535798530497631,,,,,,,,,0.0,8.320109639316798e-05,8.320109639316798e-05,0.85,0.7
