setting,method,tuning_decisions,fallback_rate,boundary_rate,lambda_factor_mean,h_factor_mean,k_target_mean_mean,R_MB_mean_mean,R_GH_mean_mean,gh_gamma_eff_mean_mean,edge_score_mean_mean,A_score_mean_mean,M2_lambda_min_mean_mean,pc_ratio_mean_mean,J_w_mean_mean,sw_proxy_mean_mean,op_score_mean,loc_score_mean
base_q0.5_s1,LO,100,0.0,1.0,,,4693.815,0.1335321689345366,0.0957096797691449,0.25,0.8703728532800504,5447.570976389336,-0.0008512648966509,1.1803736176563526,1.003068977643678,5.731510764761131,,
base_q0.5_s1,PPCI,100,0.0,1.0,0.0331898535048027,1.2,4693.815,0.1335321689345366,0.0957096797691449,0.25,0.8703728532800504,5447.570976389336,-0.0008512648966509,1.1803736176563526,1.003068977643678,5.731510764761131,2.617929020366172,0.8607707211999118
base_q0.5_s1,PPCI++,100,0.0,1.0,0.0331898535048027,1.2,4693.815,0.1335321689345366,0.0957096797691449,0.25,0.8703728532800504,5447.570976389336,-0.0008512648966509,1.1803736176563526,1.003068977643678,5.731510764761131,2.617929020366172,0.8607707211999118
base_q0.5_s1,PPI,100,0.0,0.0,,,,,,,,,,,,,,
base_q0.9_s1,LO,100,0.0,1.0,,,4693.815,0.1335321689345366,0.0957096797691449,0.25,0.8703728532800504,5447.570976389336,-0.0008512648966509,1.1803736176563526,1.003068977643678,5.731510764761131,,
base_q0.9_s1,PPCI,100,0.0,1.0,0.0331898535048027,1.2,4693.815,0.1335321689345366,0.0957096797691449,0.25,0.8703728532800504,5447.570976389336,-0.0008512648966509,1.1803736176563526,1.003068977643678,5.731510764761131,2.617929020366172,0.8607707211999118
base_q0.9_s1,PPCI++,100,0.0,1.0,0.0331898535048027,1.2,4693.815,0.1335321689345366,0.0957096797691449,0.25,0.8703728532800504,5447.570976389336,-0.0008512648966509,1.1803736176563526,1.003068977643678,5.731510764761131,2.617929020366172,0.8607707211999118
base_q0.9_s1,PPI,100,0.0,0.0,,,,,,,,,,,,,,
base_q0_s1,LO,100,0.0,1.0,,,4693.815,0.1335321689345366,0.0957096797691449,0.25,0.8703728532800504,5447.570976389336,-0.0008512648966509,1.1803736176563526,1.003068977643678,5.731510764761131,,
base_q0_s1,PPCI,100,0.0,1.0,0.0331898535048027,1.2,4693.815,0.1335321689345366,0.0957096797691449,0.25,0.8703728532800504,5447.570976389336,-0.0008512648966509,1.1803736176563526,1.003068977643678,5.731510764761131,2.617929020366172,0.8607707211999118
base_q0_s1,PPCI++,100,0.0,1.0,0.0331898535048027,1.2,4693.815,0.1335321689345366,0.0957096797691449,0.25,0.8703728532800504,5447.570976389336,-0.0008512648966509,1.1803736176563526,1.003068977643678,5.731510764761131,2.617929020366172,0.8607707211999118
base_q0_s1,PPI,100,0.0,0.0,,,,,,,,,,,,,,
